bill,date,time,item,amount,total,payment_type(cash/card),buyer_id,purchase_price
100000110,03-03-2018,12:05:28,"Shirt type 5, Adidas",1,1433.36,cash,,779
100000110,03-03-2018,12:05:28,"Socks type 2, Adidas",1,107.52,cash,,56
100000110,03-03-2018,12:05:28,"Socks type 3, Nike",1,436.244,cash,,191
100000110,03-03-2018,12:05:28,"Trousers type 8, Nike",1,1563.272,cash,,743
100000115,22-05-2016,13:43:57,"Shirt type 5, Nike",1,911.744,card,,419
100000115,22-05-2016,13:43:57,"Hat type 6, Reebok",2,406.6,card,,214
100000119,27-12-2016,20:40:31,"Socks type 1, Reebok",1,343.98,card,,182
100000119,27-12-2016,20:40:31,"Cufflinks type 1, Reebok",1,767.97,card,,371
100000134,22-09-2017,09:58:34,"Trousers type 3, Adidas",1,2170.94,card,1051.0,1102
100000146,26-12-2017,12:00:19,"Ball type 2, Adidas",1,94.5,cash,,45
100000146,26-12-2017,12:00:19,"Sneakers type 3, Puma",1,2559.3732,cash,,1965
100000146,26-12-2017,12:00:19,"Hat type 8, Adidas",1,261.44,cash,,152
100000146,26-12-2017,12:00:19,"Shirt type 6, Nike",1,1552.824,cash,,702
100000146,26-12-2017,12:00:19,"Socks type 2, Puma",1,393.43616,cash,,257
100000149,10-08-2018,09:58:14,"Ball type 2, Reebok",1,100.11,cash,,47
100000149,10-08-2018,09:58:14,"Cap type 1, Adidas",1,285.18,cash,,175
100000155,20-11-2017,16:42:58,"Shoes type 4, Adidas",1,3582.78,card,,1698
100000194,06-12-2016,19:12:50,"Cufflinks type 2, Reebok",1,432.0,card,,200
100000194,06-12-2016,19:12:50,"Belt type 2, Nike",1,536.8,card,,220
100000194,06-12-2016,19:12:50,"Cufflinks type 6, Puma",1,365.72,card,,205
100000221,26-07-2017,13:30:03,"Hat type 6, Nike",1,510.024,cash,,237
100000223,03-08-2018,11:04:51,"Trousers type 4, Puma",1,1258.22128,cash,280.0,919
100000224,28-07-2017,14:38:13,"Ball type 1, Adidas",2,120.9,card,823.0,62
100000224,28-07-2017,14:38:13,"Cufflinks type 3, Puma",1,629.4912,card,823.0,390
100000224,28-07-2017,14:38:13,"T-shirt type 1, Adidas",2,919.8,card,823.0,438
100000228,06-03-2017,17:57:06,"Cap type 2, Adidas",1,630.72,card,,292
100000228,06-03-2017,17:57:06,"Shirt type 2, Reebok",2,986.832,card,,504
100000255,30-03-2016,19:49:04,"Shoes type 2, Puma",1,3234.944,cash,,2032
100000259,27-02-2016,09:06:10,"Trousers type 3, Adidas",1,2170.94,cash,,1102
100000280,28-07-2016,10:38:01,"Hat type 5, Puma",1,234.08,cash,,140
100000280,28-07-2016,10:38:01,"Boots type 3, Puma",2,9848.832,cash,,5496
100000280,28-07-2016,10:38:01,"T-shirt type 2, Adidas",1,510.84,cash,,258
100000284,04-05-2016,16:47:28,"Socks type 6, Reebok",1,691.6,card,,380
100000284,04-05-2016,16:47:28,"Cufflinks type 3, Puma",1,551.616,card,,390
100000284,04-05-2016,16:47:28,"Cufflinks type 5, Nike",1,949.648,card,,427
100000284,04-05-2016,16:47:28,"Trousers type 2, Nike",1,1406.532,card,,597
100000284,04-05-2016,16:47:28,"Shirt type 9, Puma",1,669.8,card,,425
100000286,08-02-2016,15:26:40,"Cufflinks type 6, Reebok",1,347.1468,card,904.0,221
100000286,08-02-2016,15:26:40,"T-shirt type 6, Nike",1,761.2,card,904.0,346
100000286,08-02-2016,15:26:40,"Shirt type 2, Nike",1,1951.232,card,904.0,824
100000292,25-05-2016,17:34:38,"Shoes type 1, Puma",1,3787.08,cash,,2265
100000294,29-03-2017,15:54:51,"Trousers type 8, Adidas",2,4254.12,cash,,2106
100000294,29-03-2017,15:54:51,"Cufflinks type 1, Puma",1,227.88,cash,,135
100000294,29-03-2017,15:54:51,"Shirt type 4, Nike",1,2053.344,cash,,876
100000314,20-09-2016,16:08:28,"T-shirt type 5, Nike",2,1136.8,cash,,490
100000314,20-09-2016,16:08:28,"Socks type 3, Puma",1,606.464,cash,,368
100000326,01-09-2018,13:43:29,"Shirt type 3, Adidas",1,605.6532,card,943.0,372
100000326,01-09-2018,13:43:29,"Shirt type 10, Reebok",1,1125.72,card,943.0,531
100000360,29-09-2017,11:27:02,"Belt type 2, Nike",1,515.328,card,,220
100000367,15-06-2016,20:27:11,"Shirt type 4, Reebok",1,1673.9,cash,,881
100000367,15-06-2016,20:27:11,"Shirt type 3, Puma",1,273.6,cash,,152
100000412,25-03-2017,12:43:58,"Cufflinks type 7, Adidas",1,334.88,card,140.0,184
100000416,16-03-2018,19:38:36,"Cap type 3, Nike",1,357.06,cash,,165
100000419,20-01-2017,12:57:19,"Socks type 3, Nike",1,436.244,card,579.0,191
100000443,26-07-2018,17:58:19,"Trousers type 4, Adidas",1,1098.39,card,,705
100000445,13-01-2018,20:14:13,"Belt type 2, Adidas",1,309.6525,cash,,159
100000448,04-10-2016,17:08:28,"Trousers type 8, Adidas",2,4254.12,card,,2106
100000448,04-10-2016,17:08:28,"Cufflinks type 4, Nike",1,386.12,card,,197
100000502,31-07-2017,18:55:50,"Shirt type 3, Adidas",2,1495.44,cash,,744
100000508,25-03-2016,13:36:40,"Top type 4, Puma",1,234.752,cash,622.0,131
100000526,04-09-2016,10:01:11,"Trousers type 6, Puma",1,1241.952,cash,,761
100000535,23-04-2018,19:23:27,"Trousers type 12, Reebok",1,542.82,cash,,249
100000559,24-04-2017,11:23:35,"Cufflinks type 1, Reebok",1,714.2121,cash,372.0,371
100000559,24-04-2017,11:23:35,"Trousers type 5, Nike",1,2028.288,cash,372.0,912
100000559,24-04-2017,11:23:35,"Cufflinks type 1, Adidas",2,990.0456,cash,372.0,524
100000564,04-02-2017,09:53:45,"Socks type 5, Nike",1,506.984,card,,254
100000564,04-02-2017,09:53:45,"Shirt type 5, Adidas",1,1433.36,card,,779
100000564,04-02-2017,09:53:45,"Trousers type 3, Puma",1,412.8,card,,258
100000564,04-02-2017,09:53:45,"Shirt type 11, Adidas",1,601.4,card,,310
100000564,04-02-2017,09:53:45,"T-shirt type 1, Reebok",1,297.2928,card,,158
100000578,11-01-2018,17:55:36,"Sneakers type 4, Reebok",1,2836.62,cash,,1700
100000578,11-01-2018,17:55:36,"T-shirt type 3, Puma",1,616.176,cash,,389
100000601,01-12-2017,18:01:58,"Socks type 7, Adidas",2,1370.9088,card,,738
100000622,24-03-2017,10:08:38,"Belt type 2, Puma",1,234.768,cash,1252.0,146
100000622,24-03-2017,10:08:38,"Socks type 1, Nike",1,515.088,cash,1252.0,252
100000622,24-03-2017,10:08:38,"Socks type 6, Adidas",1,698.4,cash,1252.0,388
100000622,24-03-2017,10:08:38,"Sneakers type 6, Reebok",1,1809.6032,cash,1252.0,1069
100000622,24-03-2017,10:08:38,"Shoes type 4, Adidas",1,3582.78,cash,1252.0,1698
100000636,04-06-2017,17:28:14,"Socks type 6, Adidas",1,698.4,card,,388
100000642,08-02-2018,15:53:02,"Cufflinks type 6, Puma",1,354.7484,card,,205
100000642,08-02-2018,15:53:02,"Ball type 1, Nike",1,96.26496,card,,48
100000642,08-02-2018,15:53:02,"Sneakers type 5, Adidas",2,3144.3714,card,,1566
100000642,08-02-2018,15:53:02,"Socks type 3, Nike",2,872.488,card,,382
100000642,08-02-2018,15:53:02,"Trousers type 6, Puma",1,1130.17632,card,,761
100000660,23-01-2016,12:51:10,"Shirt type 7, Nike",1,1383.1104,card,,820
100000660,23-01-2016,12:51:10,"Top type 3, Nike",1,535.0,card,,250
100000660,23-01-2016,12:51:10,"Trousers type 7, Nike",2,5341.488,card,,2598
100000660,23-01-2016,12:51:10,"Sneakers type 4, Nike",1,1782.428,card,,893
100000677,22-11-2016,14:37:12,"Hat type 7, Puma",1,359.70912,cash,,237
100000679,16-08-2018,15:09:21,"Hat type 5, Nike",1,427.07584,card,,229
100000679,16-08-2018,15:09:21,"T-shirt type 5, Adidas",1,627.21,card,,303
100000682,27-09-2016,17:47:20,"Top type 1, Puma",1,420.784,cash,,238
100000682,27-09-2016,17:47:20,"Cufflinks type 6, Reebok",1,413.27,cash,,221
100000682,27-09-2016,17:47:20,"Shirt type 9, Adidas",1,1818.46,cash,,838
100000682,27-09-2016,17:47:20,"Belt type 4, Adidas",2,756.58,cash,,362
100000688,09-02-2017,17:34:33,"Trousers type 1, Nike",1,2275.036,cash,,937
100000708,06-01-2018,09:58:53,"Socks type 5, Puma",1,675.376,cash,,382
100000711,17-06-2017,14:02:06,"Cufflinks type 6, Adidas",1,356.85,card,,183
100000711,17-06-2017,14:02:06,"Boots type 4, Nike",1,6929.088,card,,2868
100000711,17-06-2017,14:02:06,"T-shirt type 4, Puma",1,297.344,card,,184
100000721,07-03-2017,16:11:49,"Slippers type 3, Reebok",1,481.14,cash,,243
100000727,13-01-2017,11:45:19,"Hat type 5, Adidas",1,322.74,cash,,163
100000727,13-01-2017,11:45:19,"T-shirt type 5, Nike",2,1068.592,cash,,490
100000746,14-01-2016,09:09:24,"Hat type 5, Adidas",1,322.74,card,,163
100000746,14-01-2016,09:09:24,"Sneakers type 1, Nike",2,6628.20072,card,,3774
100000746,14-01-2016,09:09:24,"Trousers type 9, Adidas",1,428.45,card,,205
100000762,03-06-2018,14:19:58,"Shirt type 3, Puma",2,547.2,cash,,304
100000762,03-06-2018,14:19:58,"Cap type 3, Reebok",1,277.7016,cash,,157
100000762,03-06-2018,14:19:58,"Sneakers type 1, Reebok",1,2316.6,cash,,1053
100000768,20-10-2017,11:03:16,"T-shirt type 4, Reebok",1,367.14,cash,,174
100000768,20-10-2017,11:03:16,"Trousers type 11, Nike",1,893.316,cash,,453
100000775,03-01-2018,14:15:27,"Slippers type 1, Adidas",1,391.95,card,,195
100000775,03-01-2018,14:15:27,"Cufflinks type 5, Nike",1,902.1656,card,,427
100000775,03-01-2018,14:15:27,"T-shirt type 2, Adidas",1,510.84,card,,258
100000775,03-01-2018,14:15:27,"Boots type 2, Reebok",1,2607.95,card,,1213
100000775,03-01-2018,14:15:27,"T-shirt type 4, Adidas",1,290.88,card,,144
100000775,03-01-2018,14:15:27,"Cufflinks type 4, Adidas",1,1005.6214,card,,493
100000775,03-01-2018,14:15:27,"T-shirt type 2, Adidas",1,510.84,card,,258
100000782,15-12-2017,17:55:59,"Sneakers type 3, Puma",1,3159.72,cash,,1965
100000782,15-12-2017,17:55:59,"Slippers type 3, Adidas",2,600.98,cash,,302
100000782,15-12-2017,17:55:59,"T-shirt type 7, Nike",1,869.584,cash,,391
100000782,15-12-2017,17:55:59,"Sneakers type 5, Reebok",1,2002.7136,cash,,1172
100000794,25-02-2018,11:52:25,"Cufflinks type 3, Nike",1,735.644,cash,,350
100000794,25-02-2018,11:52:25,"Top type 2, Nike",1,934.78,cash,,385
100000799,29-07-2017,09:42:15,"Slippers type 3, Nike",2,627.072,cash,,276
100000817,17-08-2018,16:43:43,"Socks type 1, Nike",2,1030.176,cash,,504
100000817,17-08-2018,16:43:43,"Hat type 3, Nike",1,551.1808,cash,,298
100000817,17-08-2018,16:43:43,"Top type 3, Puma",1,480.6,cash,,267
100000818,19-12-2016,11:13:13,"Slippers type 2, Nike",1,770.24,cash,,332
100000822,26-08-2017,15:40:59,"Cufflinks type 2, Nike",2,463.088,card,645.0,206
100000822,26-08-2017,15:40:59,"Top type 3, Adidas",1,158.25,card,645.0,75
100000830,03-07-2017,12:02:54,"Belt type 2, Nike",1,536.8,cash,,220
100000844,22-07-2018,10:47:14,"Shirt type 10, Adidas",2,893.8,cash,,410
100000859,12-05-2017,14:09:41,"Hat type 3, Reebok",1,454.1856,cash,,253
100000881,27-04-2016,13:40:28,"Trousers type 6, Nike",2,4596.336,cash,,2124
100000881,27-04-2016,13:40:28,"Cufflinks type 2, Nike",1,231.544,cash,,103
100000881,27-04-2016,13:40:28,"Ball type 2, Adidas",1,94.5,cash,,45
100000881,27-04-2016,13:40:28,"Trousers type 10, Puma",1,1870.2,cash,,1039
100000904,09-07-2017,15:20:01,"Trousers type 1, Puma",1,722.304,cash,,418
100000927,26-03-2016,15:12:31,"Shoes type 4, Puma",1,3041.776,card,,1802
100000937,30-04-2016,16:44:58,"T-shirt type 5, Puma",1,233.09744,cash,,139
100000937,30-04-2016,16:44:58,"Sneakers type 5, Adidas",1,1620.81,cash,,783
100000937,30-04-2016,16:44:58,"T-shirt type 1, Adidas",1,409.311,cash,,219
100000945,07-02-2017,17:29:06,"Shoes type 4, Nike",1,5776.12,card,,2947
100000947,13-01-2017,17:56:51,"Shirt type 12, Reebok",1,1021.496,card,,629
100000947,13-01-2017,17:56:51,"Trousers type 9, Reebok",1,608.16,card,,336
100000954,05-03-2017,19:17:46,"Boots type 6, Adidas",1,5889.38,cash,,2714
100000954,05-03-2017,19:17:46,"T-shirt type 5, Adidas",1,627.21,cash,,303
100000954,05-03-2017,19:17:46,"T-shirt type 5, Puma",1,247.976,cash,,139
100000997,20-04-2017,20:31:13,"Hat type 6, Adidas",1,487.6,cash,1152.0,265
100000997,20-04-2017,20:31:13,"Shirt type 10, Reebok",2,2251.44,cash,1152.0,1062
100000997,20-04-2017,20:31:13,"Cufflinks type 6, Puma",2,731.44,cash,1152.0,410
100000997,20-04-2017,20:31:13,"Cap type 2, Puma",1,286.3224,cash,1152.0,190
100000997,20-04-2017,20:31:13,"Shirt type 7, Puma",1,1076.768,cash,1152.0,644
100001009,24-08-2018,11:03:25,"Slippers type 3, Adidas",1,279.4557,cash,778.0,151
100001009,24-08-2018,11:03:25,"Top type 1, Nike",1,298.4608,cash,778.0,139
100001011,19-05-2018,14:31:31,"Cufflinks type 2, Reebok",1,432.0,card,,200
100001013,29-04-2016,16:44:49,"Belt type 2, Puma",1,192.50976,cash,,146
100001019,16-02-2017,19:46:29,"Shoes type 2, Puma",1,2943.79904,cash,370.0,2032
100001019,16-02-2017,19:46:29,"T-shirt type 3, Puma",1,616.176,cash,370.0,389
100001019,16-02-2017,19:46:29,"Sneakers type 4, Adidas",1,1544.51,cash,370.0,739
100001019,16-02-2017,19:46:29,"Socks type 1, Adidas",1,787.5,cash,370.0,375
100001019,16-02-2017,19:46:29,"Top type 4, Reebok",1,271.6,cash,370.0,140
100001021,29-11-2017,13:37:30,"Socks type 6, Reebok",1,684.684,cash,,380
100001036,15-05-2016,09:29:48,"Top type 2, Puma",1,511.68,cash,,390
100001044,02-01-2016,14:12:28,"Shoes type 2, Reebok",1,4327.96,card,,2378
100001044,02-01-2016,14:12:28,"Cufflinks type 5, Puma",1,250.88,card,,140
100001044,02-01-2016,14:12:28,"Cufflinks type 5, Nike",1,949.648,card,,427
100001046,19-07-2017,17:30:59,"Trousers type 4, Nike",1,2360.408,card,,1007
100001046,19-07-2017,17:30:59,"Sneakers type 2, Reebok",1,1295.84,card,,712
100001046,19-07-2017,17:30:59,"Cufflinks type 1, Adidas",1,526.62,card,,262
100001046,19-07-2017,17:30:59,"Cap type 1, Reebok",1,529.2,card,,245
100001046,19-07-2017,17:30:59,"Ball type 1, Adidas",2,120.9,card,,62
100001046,19-07-2017,17:30:59,"T-shirt type 1, Nike",2,904.4,card,,380
100001046,19-07-2017,17:30:59,"Trousers type 9, Puma",1,858.28,card,,499
100001053,06-03-2017,16:33:49,"Shirt type 5, Adidas",1,1433.36,cash,778.0,779
100001065,29-06-2016,20:47:39,"T-shirt type 5, Reebok",1,588.7644,card,,323
100001065,29-06-2016,20:47:39,"Shoes type 4, Adidas",2,6234.0372,card,,3396
100001065,29-06-2016,20:47:39,"Cufflinks type 5, Adidas",1,623.3976,card,,342
100001065,29-06-2016,20:47:39,"T-shirt type 1, Adidas",1,459.9,card,,219
100001065,29-06-2016,20:47:39,"Top type 1, Adidas",1,797.16,card,,364
100001065,29-06-2016,20:47:39,"Cufflinks type 2, Puma",1,445.28,card,,253
100001079,18-10-2017,12:13:50,"Shoes type 2, Nike",1,3792.536,card,,1562
100001085,09-03-2017,10:33:22,"Trousers type 7, Puma",1,482.232,card,733.0,283
100001085,09-03-2017,10:33:22,"Cufflinks type 5, Puma",1,250.88,card,733.0,140
100001094,24-01-2018,15:48:05,"Belt type 4, Reebok",1,392.1612,card,,236
100001108,31-07-2017,11:33:47,"Cufflinks type 3, Nike",1,782.6,cash,,350
100001108,31-07-2017,11:33:47,"Shirt type 8, Puma",1,408.672,cash,,264
100001108,31-07-2017,11:33:47,"Shoes type 2, Nike",1,3792.536,cash,,1562
100001108,31-07-2017,11:33:47,"Socks type 6, Nike",1,456.042,cash,,255
100001108,31-07-2017,11:33:47,"T-shirt type 3, Puma",1,616.176,cash,,389
100001113,07-02-2017,17:20:10,"Hat type 6, Puma",1,348.4884,card,,251
100001124,28-07-2017,20:12:50,"T-shirt type 3, Nike",1,492.2,cash,,230
100001124,28-07-2017,20:12:50,"Boots type 3, Adidas",2,12715.76,cash,,5998
100001139,06-09-2016,12:29:45,"Socks type 4, Nike",2,579.576,cash,,246
100001146,20-12-2017,20:24:03,"T-shirt type 2, Puma",1,297.92,cash,,200
100001149,16-07-2017,09:58:48,"Hat type 2, Adidas",1,278.8,cash,1011.0,136
100001150,10-06-2016,15:10:23,"Trousers type 6, Puma",1,1241.952,cash,,761
100001171,16-05-2017,15:37:02,"Top type 4, Adidas",1,217.21,cash,,107
100001171,16-05-2017,15:37:02,"Socks type 4, Reebok",2,1342.881,cash,,786
100001171,16-05-2017,15:37:02,"Trousers type 5, Puma",1,2062.90784,cash,,1207
100001171,16-05-2017,15:37:02,"Shirt type 2, Reebok",1,554.4,cash,,252
100001184,14-09-2018,14:52:11,"Trousers type 11, Nike",1,893.316,cash,,453
100001192,10-09-2018,19:50:00,"Socks type 5, Reebok",1,227.55,cash,,111
100001192,10-09-2018,19:50:00,"Top type 4, Adidas",1,217.21,cash,,107
100001213,19-12-2017,11:33:28,"Shoes type 3, Reebok",1,2500.2,card,,1389
100001220,22-09-2016,16:16:20,"Shoes type 3, Nike",1,6650.368,cash,,3352
100001220,22-09-2016,16:16:20,"Sneakers type 3, Puma",1,3159.72,cash,,1965
100001224,05-11-2017,13:25:11,"Trousers type 5, Reebok",1,2076.68,card,,1076
100001239,02-06-2016,16:01:40,"Sneakers type 2, Nike",1,3873.008,cash,,1964
100001243,28-07-2017,17:35:22,"Shirt type 11, Adidas",1,601.4,cash,,310
100001243,28-07-2017,17:35:22,"Cufflinks type 6, Puma",1,365.72,cash,,205
100001243,28-07-2017,17:35:22,"Trousers type 9, Adidas",1,381.3205,cash,,205
100001282,25-01-2017,14:52:45,"Sneakers type 4, Nike",2,3422.26176,card,,1786
100001282,25-01-2017,14:52:45,"Trousers type 4, Nike",1,2360.408,card,,1007
100001293,23-07-2018,19:44:34,"Boots type 3, Adidas",1,6357.88,card,,2999
100001294,14-06-2017,14:08:19,"Trousers type 11, Reebok",1,1816.84,card,,857
100001344,14-09-2017,18:26:24,"Boots type 1, Adidas",1,7074.9763,card,,3593
100001351,15-07-2017,14:23:42,"Slippers type 1, Adidas",1,313.56,cash,,195
100001351,15-07-2017,14:23:42,"Cufflinks type 5, Nike",2,1823.32416,cash,,854
100001360,26-05-2017,16:22:33,"Trousers type 3, Reebok",1,1850.97,card,,869
100001360,26-05-2017,16:22:33,"Cufflinks type 3, Adidas",1,325.0808,card,,187
100001368,18-01-2018,09:23:24,"Hat type 7, Puma",1,363.57696,card,,237
100001368,18-01-2018,09:23:24,"T-shirt type 6, Reebok",1,371.05,card,,181
100001368,18-01-2018,09:23:24,"Shirt type 2, Adidas",1,1007.4,card,,460
100001368,18-01-2018,09:23:24,"Shirt type 2, Adidas",2,2014.8,card,,920
100001377,20-06-2017,19:04:45,"Top type 3, Nike",1,535.0,card,,250
100001388,20-01-2016,17:04:13,"Shirt type 4, Reebok",2,3347.8,cash,,1762
100001388,20-01-2016,17:04:13,"Shirt type 10, Puma",1,495.816,cash,,283
100001388,20-01-2016,17:04:13,"Boots type 1, Nike",1,6055.728,cash,,2814
100001398,04-12-2017,15:49:46,"Shirt type 2, Reebok",1,554.4,card,,252
100001412,13-07-2016,14:48:48,"Cap type 2, Nike",1,541.66,cash,,265
100001428,03-05-2018,10:24:57,"Boots type 6, Nike",1,5533.412,card,,2279
100001428,03-05-2018,10:24:57,"Slippers type 1, Nike",1,371.68,card,,184
100001428,03-05-2018,10:24:57,"Hat type 5, Adidas",1,322.74,card,,163
100001428,03-05-2018,10:24:57,"T-shirt type 2, Puma",1,313.6,card,,200
100001436,08-08-2016,16:29:17,"Ball type 1, Nike",1,111.936,card,,48
100001439,19-07-2018,13:42:13,"Socks type 4, Puma",1,297.024,cash,,168
100001455,05-02-2016,18:31:16,"Cufflinks type 1, Adidas",1,526.62,card,,262
100001455,05-02-2016,18:31:16,"Hat type 1, Reebok",2,991.1,card,,530
100001457,23-07-2018,19:36:53,"Boots type 5, Reebok",1,5673.87,cash,1021.0,2741
100001457,23-07-2018,19:36:53,"Top type 4, Puma",1,208.92928,cash,1021.0,131
100001459,21-05-2017,20:49:36,"Cufflinks type 5, Nike",1,949.648,cash,,427
100001459,21-05-2017,20:49:36,"Cufflinks type 4, Reebok",2,1642.48,cash,,838
100001459,21-05-2017,20:49:36,"Belt type 1, Nike",1,274.912,cash,,121
100001459,21-05-2017,20:49:36,"Hat type 2, Adidas",1,276.012,cash,,136
100001485,09-05-2017,10:19:53,"Socks type 2, Reebok",1,399.168,cash,,210
100001485,09-05-2017,10:19:53,"Trousers type 7, Puma",1,482.232,cash,,283
100001485,09-05-2017,10:19:53,"Hat type 8, Reebok",2,712.7736,cash,,418
100001485,09-05-2017,10:19:53,"Boots type 4, Puma",1,4763.872,cash,,3631
100001496,16-11-2016,18:04:43,"Hat type 8, Nike",1,569.64,card,,282
100001496,16-11-2016,18:04:43,"Trousers type 2, Reebok",1,335.49,card,,159
100001496,16-11-2016,18:04:43,"Top type 2, Puma",2,1248.0,card,,780
100001506,09-06-2016,15:31:56,"T-shirt type 5, Adidas",1,614.6658,cash,,303
100001511,18-05-2018,14:06:20,"Top type 3, Adidas",2,316.5,cash,,150
100001511,18-05-2018,14:06:20,"Boots type 1, Reebok",1,4917.9,cash,,2535
100001511,18-05-2018,14:06:20,"Boots type 6, Nike",1,5533.412,cash,,2279
100001511,18-05-2018,14:06:20,"Shoes type 1, Reebok",1,6119.12,cash,,3122
100001514,19-02-2018,19:43:58,"Shirt type 4, Reebok",1,1673.9,card,,881
100001553,03-12-2016,18:20:08,"Hat type 6, Reebok",1,203.3,cash,138.0,107
100001553,03-12-2016,18:20:08,"Shirt type 2, Adidas",1,815.994,cash,138.0,460
100001569,30-10-2017,12:34:11,"Shirt type 5, Nike",1,756.74752,cash,,419
100001569,30-10-2017,12:34:11,"Shirt type 9, Adidas",1,1782.0908,cash,,838
100001570,08-06-2018,14:44:48,"T-shirt type 2, Reebok",1,385.2,card,,214
100001571,26-02-2016,10:05:11,"Trousers type 12, Puma",1,296.192,cash,567.0,178
100001571,26-02-2016,10:05:11,"Boots type 4, Puma",2,11619.2,cash,567.0,7262
100001575,16-01-2018,11:05:28,"Cap type 3, Nike",1,339.207,card,,165
100001575,16-01-2018,11:05:28,"Shirt type 4, Nike",1,1868.54304,card,,876
100001575,16-01-2018,11:05:28,"Boots type 4, Nike",1,6929.088,card,,2868
100001575,16-01-2018,11:05:28,"Slippers type 1, Nike",1,371.68,card,,184
100001575,16-01-2018,11:05:28,"Socks type 2, Adidas",1,107.52,card,,56
100001575,16-01-2018,11:05:28,"Sneakers type 1, Reebok",1,2316.6,card,,1053
100001575,16-01-2018,11:05:28,"Hat type 5, Reebok",1,214.928,card,,112
100001575,16-01-2018,11:05:28,"Socks type 2, Reebok",1,340.956,card,,210
100001575,16-01-2018,11:05:28,"Boots type 4, Nike",1,6929.088,card,,2868
100001575,16-01-2018,11:05:28,"Hat type 4, Nike",1,573.672,card,,246
100001575,16-01-2018,11:05:28,"Sneakers type 3, Puma",1,2906.9424,card,,1965
100001579,23-03-2016,14:51:37,"Shirt type 8, Adidas",1,649.65,cash,,355
100001610,26-07-2016,14:20:28,"T-shirt type 6, Puma",1,181.28,card,197.0,110
100001611,10-03-2017,09:45:08,"Shirt type 10, Puma",2,991.632,card,,566
100001619,17-08-2017,17:35:19,"Belt type 4, Puma",1,430.944,cash,1195.0,268
100001638,19-10-2017,16:05:07,"Belt type 3, Reebok",1,714.42,cash,,378
100001707,21-06-2016,13:48:45,"Cap type 2, Puma",2,560.0592,cash,,380
100001729,08-09-2017,16:10:33,"Hat type 1, Reebok",1,441.0395,card,,265
100001751,03-12-2017,12:54:39,"Shoes type 4, Nike",1,5198.508,card,,2947
100001764,12-01-2016,17:12:21,"Sneakers type 4, Puma",1,1451.904,cash,,912
100001764,12-01-2016,17:12:21,"Shirt type 10, Puma",1,421.4436,cash,,283
100001781,22-07-2017,11:36:45,"Sneakers type 3, Puma",1,3159.72,cash,14.0,1965
100001781,22-07-2017,11:36:45,"T-shirt type 3, Nike",1,452.824,cash,14.0,230
100001781,22-07-2017,11:36:45,"Trousers type 10, Adidas",1,1137.96,cash,14.0,580
100001781,22-07-2017,11:36:45,"Shirt type 6, Reebok",1,699.6,cash,14.0,330
