bill_n,date,time,item,amount,unit_price,total,payment_type(cash/card),buyer_id,shop_id,purchase_cost,date_of_purchase
100000032,2018-03-05,19:21:53,"Slippers type 2, Nike",1,770.2400000000001,770.2400000000001,card,,shop_3,332,2018-03-05
100000032,2018-03-05,19:21:53,"Socks type 5, Reebok",1,227.54999999999998,227.54999999999998,card,,shop_3,111,2018-03-05
100000032,2018-03-05,19:21:53,"T-shirt type 7, Nike",1,800.0172800000001,800.0172800000001,card,,shop_3,391,2018-03-05
100000033,2017-07-12,20:38:49,"Sneakers type 3, Reebok",1,2059.78,2059.78,card,,shop_1,1138,2017-07-12
100000034,2016-04-07,16:21:06,"Trousers type 11, Nike",1,893.316,893.316,card,,shop_9,453,2016-04-11
100000034,2016-04-07,16:21:06,"Sneakers type 2, Nike",1,4556.4800000000005,4556.4800000000005,card,,shop_9,1964,2016-04-11
100000035,2017-05-23,12:28:16,"Trousers type 3, Puma",1,412.8,412.8,card,1005.0,shop_3,258,2017-05-23
100000035,2017-05-23,12:28:16,"Cufflinks type 5, Reebok",1,223.38,223.38,card,1005.0,shop_3,146,2017-05-23
100000035,2017-05-23,12:28:16,"Belt type 1, Nike",1,274.91200000000003,274.91200000000003,card,1005.0,shop_3,121,2017-05-23
100000036,2016-08-01,10:57:44,"Sneakers type 1, Adidas",1,3338.6800000000003,3338.6800000000003,cash,,shop_2,1748,2016-08-05
100000036,2016-08-01,10:57:44,"Top type 2, Reebok",1,461.89000000000004,461.89000000000004,cash,,shop_2,247,2016-08-05
100000036,2016-08-01,10:57:44,"Trousers type 1, Nike",1,2275.036,2275.036,cash,,shop_2,937,2016-08-05
100000036,2016-08-01,10:57:44,"Shirt type 7, Reebok",1,1310.26,1310.26,cash,,shop_2,686,2016-08-05
100000036,2016-08-01,10:57:44,"Cufflinks type 4, Nike",1,386.12,386.12,cash,,shop_2,197,2016-08-05
100000036,2016-08-01,10:57:44,"Boots type 4, Puma",1,5809.6,5809.6,cash,,shop_2,3631,2016-08-05
100000036,2016-08-01,10:57:44,"Shirt type 6, Reebok",1,699.6,699.6,cash,,shop_2,330,2016-08-05
100000036,2016-08-01,10:57:44,"Boots type 2, Puma",2,1927.0720000000001,3854.1440000000002,cash,,shop_2,2458,2016-08-05
100000036,2016-08-01,10:57:44,"Trousers type 12, Adidas",1,974.4599999999999,974.4599999999999,cash,,shop_2,447,2016-08-05
100000036,2016-08-01,10:57:44,"Socks type 5, Nike",1,506.984,506.984,cash,,shop_2,254,2016-08-05
100000037,2016-11-18,18:53:31,"Trousers type 4, Adidas",1,1245.735,1245.735,card,,shop_2,705,2016-11-20
100000037,2016-11-18,18:53:31,"Trousers type 10, Adidas",1,1264.3999999999999,1264.3999999999999,card,,shop_2,580,2016-11-20
100000037,2016-11-18,18:53:31,"Trousers type 5, Puma",2,2105.0080000000003,4210.0160000000005,card,,shop_2,2414,2016-11-20
100000037,2016-11-18,18:53:31,"Trousers type 7, Puma",1,482.232,482.232,card,,shop_2,283,2016-11-20
100000037,2016-11-18,18:53:31,"Trousers type 6, Puma",2,1105.33728,2210.67456,card,,shop_2,1522,2016-11-20
100000037,2016-11-18,18:53:31,"Trousers type 4, Nike",1,2265.99168,2265.99168,card,,shop_2,1007,2016-11-20
100000038,2017-05-07,11:03:51,"Shirt type 10, Puma",1,495.816,495.816,cash,,shop_5,283,2017-05-12
100000039,2017-03-29,19:28:03,"Belt type 2, Nike",1,536.8,536.8,card,,shop_4,220,2017-03-30
100000040,2017-07-07,19:47:49,"T-shirt type 6, Reebok",1,296.84,296.84,card,,shop_8,181,2017-07-07
100000040,2017-07-07,19:47:49,"Cufflinks type 3, Puma",1,564.5952,564.5952,card,,shop_8,390,2017-07-07
100000040,2017-07-07,19:47:49,"Belt type 1, Reebok",1,595.4635999999999,595.4635999999999,card,,shop_8,298,2017-07-07
100000040,2017-07-07,19:47:49,"Shoes type 2, Reebok",2,4327.96,8655.92,card,,shop_8,4756,2017-07-07
100000040,2017-07-07,19:47:49,"Belt type 4, Adidas",1,398.20000000000005,398.20000000000005,card,,shop_8,181,2017-07-07
100000041,2018-04-25,12:51:59,"Sneakers type 1, Reebok",1,2316.6000000000004,2316.6000000000004,cash,,shop_3,1053,2018-04-30
100000041,2018-04-25,12:51:59,"Socks type 1, Adidas",1,787.5,787.5,cash,,shop_3,375,2018-04-30
100000041,2018-04-25,12:51:59,"Shirt type 2, Nike",1,1951.232,1951.232,cash,,shop_3,824,2018-04-30
100000042,2017-11-26,12:33:05,"Top type 1, Nike",1,325.5936,325.5936,card,,shop_4,139,2017-11-26
100000043,2017-09-09,10:21:37,"Shirt type 10, Reebok",1,1035.6624000000002,1035.6624000000002,card,546.0,shop_9,531,2017-09-14
100000043,2017-09-09,10:21:37,"Trousers type 4, Puma",1,1463.048,1463.048,card,546.0,shop_9,919,2017-09-14
100000043,2017-09-09,10:21:37,"Sneakers type 5, Reebok",1,2250.24,2250.24,card,546.0,shop_9,1172,2017-09-14
100000043,2017-09-09,10:21:37,"Cap type 3, Reebok",1,274.5459,274.5459,card,546.0,shop_9,157,2017-09-14
100000044,2018-03-01,10:05:24,"Hat type 5, Nike",1,454.336,454.336,card,,shop_3,229,2018-03-01
100000044,2018-03-01,10:05:24,"Slippers type 1, Reebok",1,686.4000000000001,686.4000000000001,card,,shop_3,312,2018-03-01
100000045,2016-08-30,13:47:13,"Shirt type 10, Adidas",1,433.49299999999994,433.49299999999994,card,,shop_5,205,2016-08-31
100000045,2016-08-30,13:47:13,"Cufflinks type 7, Nike",1,581.616,581.616,card,,shop_5,252,2016-08-31
100000045,2016-08-30,13:47:13,"Shirt type 10, Nike",1,397.46,397.46,card,,shop_5,167,2016-08-31
100000045,2016-08-30,13:47:13,"Slippers type 1, Puma",2,294.84000000000003,589.6800000000001,card,,shop_5,378,2016-08-31
100000046,2017-06-12,14:35:21,"Cufflinks type 1, Puma",1,221.04360000000003,221.04360000000003,cash,,shop_1,135,2017-06-12
100000047,2018-03-06,14:15:51,"Socks type 3, Reebok",1,356.96,356.96,card,,shop_9,184,2018-03-11
100000049,2016-02-18,15:30:01,"T-shirt type 6, Adidas",1,317.904,317.904,card,,shop_6,179,2016-02-22
100000049,2016-02-18,15:30:01,"T-shirt type 7, Puma",1,163.25712000000001,163.25712000000001,card,,shop_6,114,2016-02-22
100000050,2018-01-20,19:38:27,"Top type 3, Reebok",2,560.1899999999999,1120.3799999999999,cash,,shop_8,526,2018-01-20
100000051,2016-11-17,13:58:39,"Cufflinks type 3, Nike",1,626.0799999999999,626.0799999999999,card,285.0,shop_8,350,2016-11-21
100000051,2016-11-17,13:58:39,"Trousers type 1, Adidas",2,1392.7788,2785.5576,card,285.0,shop_8,1656,2016-11-21
100000051,2016-11-17,13:58:39,"Socks type 4, Nike",1,289.788,289.788,card,285.0,shop_8,123,2016-11-21
100000051,2016-11-17,13:58:39,"Socks type 1, Adidas",1,787.5,787.5,card,285.0,shop_8,375,2016-11-21
100000051,2016-11-17,13:58:39,"Top type 1, Reebok",1,189.2,189.2,card,285.0,shop_8,88,2016-11-21
100000051,2016-11-17,13:58:39,"Trousers type 4, Nike",1,2360.4080000000004,2360.4080000000004,card,285.0,shop_8,1007,2016-11-21
100000053,2017-10-09,13:49:16,"Hat type 3, Reebok",1,516.12,516.12,card,,shop_1,253,2017-10-13
100000054,2017-12-10,15:48:16,"Ball type 1, Nike",2,111.93599999999999,223.87199999999999,card,1057.0,shop_9,96,2017-12-14
100000055,2018-05-24,20:48:34,"Shoes type 2, Adidas",1,2690.8080000000004,2690.8080000000004,cash,,shop_7,1761,2018-05-26
100000055,2018-05-24,20:48:34,"Belt type 2, Reebok",1,388.07120000000003,388.07120000000003,cash,,shop_7,209,2018-05-26
100000056,2017-02-09,20:56:10,"Sneakers type 1, Puma",1,2688.93504,2688.93504,card,821.0,shop_1,1628,2017-02-12
100000056,2017-02-09,20:56:10,"Socks type 1, Nike",1,499.63535999999993,499.63535999999993,card,821.0,shop_1,252,2017-02-12
100000058,2016-09-16,19:16:24,"Cap type 1, Nike",1,455.168,455.168,cash,,shop_9,224,2016-09-16
100000059,2018-04-21,20:22:57,"Shirt type 3, Puma",1,254.448,254.448,card,,shop_6,152,2018-04-21
100000060,2017-10-04,11:15:27,"Trousers type 8, Adidas",1,2127.06,2127.06,cash,,shop_1,1053,2017-10-09
100000060,2017-10-04,11:15:27,"Trousers type 7, Nike",1,2670.744,2670.744,cash,,shop_1,1299,2017-10-09
100000060,2017-10-04,11:15:27,"Shirt type 12, Puma",1,548.416,548.416,cash,,shop_1,328,2017-10-09
100000061,2017-06-06,17:17:09,"Sneakers type 3, Adidas",1,3241.2599999999998,3241.2599999999998,card,,shop_9,1637,2017-06-10
100000062,2016-12-14,16:51:11,"Slippers type 1, Reebok",1,686.4000000000001,686.4000000000001,cash,,shop_1,312,2016-12-17
100000062,2016-12-14,16:51:11,"Socks type 2, Adidas",1,107.52,107.52,cash,,shop_1,56,2016-12-17
100000063,2018-05-15,17:43:21,"Shoes type 2, Adidas",1,3363.51,3363.51,cash,,shop_1,1761,2018-05-18
100000064,2017-02-11,11:02:28,"Trousers type 8, Nike",1,1469.47568,1469.47568,card,,shop_7,743,2017-02-11
100000065,2016-03-31,12:05:19,"Socks type 5, Adidas",1,736.32,736.32,cash,,shop_3,354,2016-04-04
100000066,2018-07-09,20:51:50,"Shirt type 9, Reebok",2,535.08,1070.16,cash,,shop_6,546,2018-07-11
100000066,2018-07-09,20:51:50,"Socks type 7, Nike",1,339.27887999999996,339.27887999999996,cash,,shop_6,151,2018-07-11
100000066,2018-07-09,20:51:50,"Cap type 3, Adidas",1,345.9911,345.9911,cash,,shop_6,197,2018-07-11
100000067,2017-01-13,20:35:48,"Trousers type 11, Adidas",1,1527.552,1527.552,cash,654.0,shop_1,884,2017-01-15
100000067,2017-01-13,20:35:48,"Ball type 2, Reebok",1,100.11,100.11,cash,654.0,shop_1,47,2017-01-15
100000068,2017-05-26,16:16:36,"Ball type 2, Adidas",2,80.325,160.65,card,,shop_5,90,2017-05-26
100000068,2017-05-26,16:16:36,"Hat type 4, Adidas",1,562.8,562.8,card,,shop_5,280,2017-05-26
100000068,2017-05-26,16:16:36,"Slippers type 2, Reebok",1,468.7,468.7,card,,shop_5,218,2017-05-26
100000068,2017-05-26,16:16:36,"Shoes type 1, Reebok",1,6119.12,6119.12,card,,shop_5,3122,2017-05-26
100000069,2017-09-03,17:31:15,"Top type 3, Reebok",1,543.3842999999999,543.3842999999999,cash,,shop_6,263,2017-09-03
100000069,2017-09-03,17:31:15,"Belt type 1, Adidas",1,637.29,637.29,cash,,shop_6,291,2017-09-03
100000070,2016-03-30,18:51:56,"Trousers type 8, Adidas",1,2127.06,2127.06,cash,1071.0,shop_3,1053,2016-03-30
100000070,2016-03-30,18:51:56,"Cufflinks type 3, Adidas",1,396.44,396.44,cash,1071.0,shop_3,187,2016-03-30
100000070,2016-03-30,18:51:56,"Ball type 1, Adidas",1,60.449999999999996,60.449999999999996,cash,1071.0,shop_3,31,2016-03-30
100000070,2016-03-30,18:51:56,"Hat type 2, Adidas",1,278.79999999999995,278.79999999999995,cash,1071.0,shop_3,136,2016-03-30
100000071,2016-05-15,09:49:15,"Sneakers type 5, Nike",2,2494.0080000000003,4988.0160000000005,cash,,shop_2,2412,2016-05-15
100000071,2016-05-15,09:49:15,"Shirt type 10, Puma",1,495.816,495.816,cash,,shop_2,283,2016-05-15
100000072,2018-02-03,18:46:37,"Hat type 4, Nike",1,573.6719999999999,573.6719999999999,card,,shop_6,246,2018-02-04
100000072,2018-02-03,18:46:37,"Sneakers type 2, Nike",1,4556.4800000000005,4556.4800000000005,card,,shop_6,1964,2018-02-04
100000073,2018-09-30,09:10:34,"T-shirt type 3, Puma",1,616.176,616.176,card,,shop_6,389,2018-09-30
100000074,2018-09-15,18:31:33,"Belt type 1, Reebok",1,613.88,613.88,card,,shop_5,298,2018-09-17
100000074,2018-09-15,18:31:33,"Boots type 3, Puma",1,4924.416,4924.416,card,,shop_5,2748,2018-09-17
100000074,2018-09-15,18:31:33,"Trousers type 12, Nike",1,1591.1026399999996,1591.1026399999996,card,,shop_5,758,2018-09-17
100000075,2018-08-18,10:35:00,"Boots type 3, Reebok",2,6686.18,13372.36,card,,shop_8,6788,2018-08-18
100000076,2016-10-29,20:55:27,"Ball type 2, Adidas",2,94.5,189.0,cash,,shop_1,90,2016-10-29
100000078,2018-04-14,17:20:07,"Belt type 3, Puma",1,593.7120000000001,593.7120000000001,cash,,shop_7,342,2018-04-14
100000078,2018-04-14,17:20:07,"Slippers type 2, Adidas",1,698.92,698.92,cash,,shop_7,346,2018-04-14
100000078,2018-04-14,17:20:07,"Hat type 2, Puma",1,380.16,380.16,cash,,shop_7,220,2018-04-14
100000079,2018-01-04,09:12:47,"Shoes type 4, Adidas",2,2902.0518000000006,5804.103600000001,cash,178.0,shop_3,3396,2018-01-04
100000079,2018-01-04,09:12:47,"Belt type 4, Reebok",2,450.76000000000005,901.5200000000001,cash,178.0,shop_3,472,2018-01-04
100000079,2018-01-04,09:12:47,"Sneakers type 4, Adidas",2,1544.51,3089.02,cash,178.0,shop_3,1478,2018-01-04
100000080,2016-05-20,15:45:53,"Belt type 1, Adidas",1,567.1881,567.1881,cash,,shop_5,291,2016-05-22
100000080,2016-05-20,15:45:53,"Trousers type 7, Reebok",1,1571.7,1571.7,cash,,shop_5,806,2016-05-22
100000082,2016-03-30,20:55:41,"Cap type 2, Nike",1,438.7446,438.7446,card,,shop_8,265,2016-04-02
100000082,2016-03-30,20:55:41,"Sneakers type 6, Puma",1,2113.5270400000004,2113.5270400000004,card,,shop_8,1564,2016-04-02
100000082,2016-03-30,20:55:41,"Cufflinks type 2, Adidas",1,380.88,380.88,card,,shop_8,207,2016-04-02
100000082,2016-03-30,20:55:41,"Trousers type 10, Nike",2,1158.616,2317.232,card,,shop_8,1154,2016-04-02
100000087,2017-03-02,20:34:22,"Belt type 1, Adidas",1,637.29,637.29,cash,,shop_1,291,2017-03-06
100000087,2017-03-02,20:34:22,"T-shirt type 3, Adidas",1,623.28,623.28,cash,,shop_1,318,2017-03-06
100000087,2017-03-02,20:34:22,"Hat type 5, Puma",2,220.0352,440.0704,cash,,shop_1,280,2017-03-06
100000088,2018-05-08,13:59:13,"Shirt type 10, Nike",1,397.46,397.46,cash,,shop_7,167,2018-05-08
100000088,2018-05-08,13:59:13,"Trousers type 6, Reebok",1,1323.96,1323.96,cash,,shop_7,649,2018-05-08
100000089,2018-09-28,10:00:23,"Cap type 2, Reebok",1,196.35000000000002,196.35000000000002,cash,296.0,shop_7,105,2018-09-28
100000090,2018-09-20,18:52:03,"Shirt type 9, Reebok",1,546.0,546.0,card,428.0,shop_1,273,2018-09-22
100000091,2016-08-12,19:43:34,"Boots type 4, Puma",1,5054.352,5054.352,card,,shop_1,3631,2016-08-16
100000091,2016-08-12,19:43:34,"Trousers type 5, Reebok",1,2076.6800000000003,2076.6800000000003,card,,shop_1,1076,2016-08-16
100000091,2016-08-12,19:43:34,"Boots type 2, Puma",1,1927.0720000000001,1927.0720000000001,card,,shop_1,1229,2016-08-16
100000091,2016-08-12,19:43:34,"Shirt type 1, Adidas",1,914.82,914.82,card,,shop_1,474,2016-08-16
100000092,2018-04-13,20:52:05,"Trousers type 3, Puma",1,355.008,355.008,card,,shop_3,258,2018-04-18
100000093,2016-09-16,20:27:23,"Socks type 5, Nike",1,461.35544,461.35544,card,,shop_7,254,2016-09-16
100000094,2018-05-24,20:59:43,"Socks type 1, Puma",2,202.56624,405.13248,cash,,shop_8,246,2018-05-24
100000094,2018-05-24,20:59:43,"Boots type 5, Reebok",1,5673.870000000001,5673.870000000001,cash,,shop_8,2741,2018-05-24
100000095,2016-10-07,20:00:24,"Cufflinks type 2, Nike",1,231.544,231.544,card,,shop_4,103,2016-10-07
100000096,2017-02-13,10:38:39,"Socks type 2, Reebok",1,378.37800000000004,378.37800000000004,cash,,shop_2,210,2017-02-16
100000096,2017-02-13,10:38:39,"Cap type 3, Puma",1,465.46808000000004,465.46808000000004,cash,,shop_2,287,2017-02-16
100000097,2018-06-16,19:45:12,"Cap type 1, Reebok",1,529.2,529.2,cash,,shop_9,245,2018-06-16
100000098,2018-04-25,17:02:53,"Trousers type 5, Puma",1,2105.0080000000003,2105.0080000000003,cash,,shop_4,1207,2018-04-28
100000098,2018-04-25,17:02:53,"Cufflinks type 5, Nike",1,949.6480000000001,949.6480000000001,cash,,shop_4,427,2018-04-28
100000098,2018-04-25,17:02:53,"Socks type 2, Nike",1,244.79000000000002,244.79000000000002,cash,,shop_4,125,2018-04-28
100000098,2018-04-25,17:02:53,"Slippers type 2, Nike",1,770.2400000000001,770.2400000000001,cash,,shop_4,332,2018-04-28
100000100,2017-03-24,11:11:18,"Trousers type 4, Adidas",1,1339.5,1339.5,card,,shop_1,705,2017-03-24
100000100,2017-03-24,11:11:18,"Shirt type 6, Puma",1,551.7600000000001,551.7600000000001,card,,shop_1,330,2017-03-24
100000100,2017-03-24,11:11:18,"Sneakers type 1, Reebok",1,2316.6000000000004,2316.6000000000004,card,,shop_1,1053,2017-03-24
100000101,2017-10-18,12:30:03,"Cap type 3, Adidas",1,311.77220000000005,311.77220000000005,cash,965.0,shop_6,197,2017-10-23
100000103,2016-11-05,10:38:42,"Shirt type 10, Nike",1,381.56159999999994,381.56159999999994,cash,,shop_3,167,2016-11-05
100000103,2016-11-05,10:38:42,"Hat type 3, Nike",1,648.4480000000001,648.4480000000001,cash,,shop_3,298,2016-11-05
100000104,2017-01-06,13:32:36,"Socks type 6, Nike",1,456.042,456.042,cash,,shop_5,255,2017-01-08
100000104,2017-01-06,13:32:36,"T-shirt type 2, Puma",1,313.6,313.6,cash,,shop_5,200,2017-01-08
100000104,2017-01-06,13:32:36,"Slippers type 1, Reebok",1,686.4000000000001,686.4000000000001,cash,,shop_5,312,2017-01-08
100000104,2017-01-06,13:32:36,"T-shirt type 3, Adidas",2,623.28,1246.56,cash,,shop_5,636,2017-01-08
100000106,2018-06-02,10:26:58,"Shirt type 8, Puma",1,456.19199999999995,456.19199999999995,cash,523.0,shop_4,264,2018-06-02
100000107,2017-02-05,09:15:29,"Shoes type 1, Reebok",1,6119.12,6119.12,cash,239.0,shop_1,3122,2017-02-09
100000107,2017-02-05,09:15:29,"Trousers type 3, Reebok",1,1647.3632999999998,1647.3632999999998,cash,239.0,shop_1,869,2017-02-09
100000107,2017-02-05,09:15:29,"Socks type 7, Adidas",1,797.0400000000001,797.0400000000001,cash,239.0,shop_1,369,2017-02-09
100000109,2018-05-29,12:47:14,"Hat type 3, Reebok",1,516.12,516.12,cash,,shop_8,253,2018-06-01
100000109,2018-05-29,12:47:14,"Cufflinks type 7, Reebok",1,512.64,512.64,cash,,shop_8,267,2018-06-01
100000109,2018-05-29,12:47:14,"Boots type 1, Adidas",1,7293.790000000001,7293.790000000001,cash,,shop_8,3593,2018-06-01
100000113,2018-03-31,10:05:05,"Belt type 1, Reebok",1,613.88,613.88,cash,,shop_6,298,2018-03-31
100000114,2018-01-08,11:02:27,"Shoes type 2, Adidas",1,3363.51,3363.51,cash,,shop_6,1761,2018-01-08
100000114,2018-01-08,11:02:27,"Sneakers type 4, Puma",1,1335.75168,1335.75168,cash,,shop_6,912,2018-01-08
100000116,2016-09-28,11:55:05,"Shirt type 7, Adidas",1,1550.25,1550.25,cash,785.0,shop_7,795,2016-09-30
100000116,2016-09-28,11:55:05,"Cufflinks type 3, Reebok",2,669.0791999999999,1338.1583999999998,cash,785.0,shop_7,782,2016-09-30
100000116,2016-09-28,11:55:05,"Hat type 1, Reebok",1,495.55,495.55,cash,785.0,shop_7,265,2016-09-30
100000116,2016-09-28,11:55:05,"Sneakers type 4, Adidas",1,1544.51,1544.51,cash,785.0,shop_7,739,2016-09-30
100000117,2017-11-12,16:15:21,"Trousers type 1, Puma",1,722.3040000000001,722.3040000000001,cash,,shop_8,418,2017-11-12
100000120,2017-08-31,12:43:54,"Shoes type 2, Nike",1,3792.536,3792.536,card,,shop_8,1562,2017-09-03
100000121,2018-06-19,14:54:00,"Top type 3, Puma",1,427.73400000000004,427.73400000000004,cash,237.0,shop_8,267,2018-06-19
100000121,2018-06-19,14:54:00,"Hat type 8, Puma",1,519.6800000000001,519.6800000000001,cash,237.0,shop_8,290,2018-06-19
100000122,2018-05-30,18:42:16,"Trousers type 11, Adidas",1,1697.28,1697.28,card,347.0,shop_9,884,2018-05-30
