invoice_n,date,shop_id,operation_type(purchase/transfer),item,amount,unit_cost,sum,supplier
50009,2016-01-01,1,Purchase,"Sneakers type 5, Puma",3,703,2109,Supplier C
50009,2016-01-01,1,Purchase,"Sneakers type 6, Puma",1,1564,1564,Supplier C
50009,2016-01-01,1,Purchase,"Slippers type 1, Puma",1,189,189,Supplier C
50009,2016-01-01,1,Purchase,"Slippers type 2, Puma",1,181,181,Supplier C
50009,2016-01-01,1,Purchase,"Slippers type 3, Puma",1,230,230,Supplier C
50009,2016-01-01,1,Purchase,"Boots type 1, Puma",1,3778,3778,Supplier C
50010,2016-01-01,1,Purchase,"Boots type 2, Puma",1,1229,1229,Supplier A
50010,2016-01-01,1,Purchase,"Boots type 3, Puma",3,2748,8244,Supplier A
50010,2016-01-01,1,Purchase,"Boots type 4, Puma",2,3631,7262,Supplier A
50010,2016-01-01,1,Purchase,"Boots type 5, Puma",1,1286,1286,Supplier A
50010,2016-01-01,1,Purchase,"Boots type 6, Puma",1,1361,1361,Supplier A
50010,2016-01-01,1,Purchase,"Shoes type 1, Puma",1,2265,2265,Supplier A
50010,2016-01-01,1,Purchase,"Shoes type 2, Puma",1,2032,2032,Supplier A
50010,2016-01-01,1,Purchase,"Shoes type 3, Puma",2,3003,6006,Supplier A
50010,2016-01-01,1,Purchase,"Shoes type 4, Puma",1,1802,1802,Supplier A
50010,2016-01-01,1,Purchase,"Belt type 1, Puma",2,191,382,Supplier A
50010,2016-01-01,1,Purchase,"Belt type 2, Puma",1,146,146,Supplier A
50010,2016-01-01,1,Purchase,"Belt type 3, Puma",3,342,1026,Supplier A
50010,2016-01-01,1,Purchase,"Belt type 4, Puma",1,268,268,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 1, Puma",5,135,675,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 2, Puma",1,253,253,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 3, Puma",1,390,390,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 4, Puma",1,495,495,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 5, Puma",1,140,140,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 6, Puma",2,205,410,Supplier A
50010,2016-01-01,1,Purchase,"Cufflinks type 7, Puma",2,125,250,Supplier A
50010,2016-01-01,1,Purchase,"Ball type 1, Puma",2,43,86,Supplier A
50010,2016-01-01,1,Purchase,"Ball type 2, Puma",2,45,90,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 1, Puma",1,288,288,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 2, Puma",2,220,440,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 3, Puma",1,249,249,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 4, Puma",1,251,251,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 5, Puma",1,140,140,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 6, Puma",1,251,251,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 7, Puma",1,237,237,Supplier A
50010,2016-01-01,1,Purchase,"Hat type 8, Puma",2,290,580,Supplier A
50010,2016-01-01,1,Purchase,"Cap type 1, Puma",1,134,134,Supplier A
50010,2016-01-01,1,Purchase,"Cap type 2, Puma",1,190,190,Supplier A
50010,2016-01-01,1,Purchase,"Cap type 3, Puma",1,287,287,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 1, Puma",1,123,123,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 2, Puma",2,257,514,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 3, Puma",1,368,368,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 4, Puma",1,168,168,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 5, Puma",1,382,382,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 6, Puma",1,299,299,Supplier A
50010,2016-01-01,1,Purchase,"Socks type 7, Puma",1,320,320,Supplier A
50010,2016-01-01,1,Purchase,"Top type 1, Puma",1,238,238,Supplier A
50010,2016-01-01,1,Purchase,"Top type 2, Puma",1,390,390,Supplier A
50010,2016-01-01,1,Purchase,"Top type 3, Puma",1,267,267,Supplier A
50010,2016-01-01,1,Purchase,"Top type 4, Puma",1,131,131,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 1, Puma",1,134,134,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 2, Puma",1,200,200,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 3, Puma",1,389,389,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 4, Puma",1,184,184,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 5, Puma",1,139,139,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 6, Puma",1,110,110,Supplier A
50010,2016-01-01,1,Purchase,"T-shirt type 7, Puma",1,114,114,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 1, Puma",1,418,418,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 2, Puma",3,590,1770,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 3, Puma",2,258,516,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 4, Puma",1,919,919,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 5, Puma",1,1207,1207,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 6, Puma",1,761,761,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 7, Puma",1,283,283,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 8, Puma",1,482,482,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 9, Puma",3,499,1497,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 10, Puma",1,1039,1039,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 11, Puma",1,329,329,Supplier A
50010,2016-01-01,1,Purchase,"Trousers type 12, Puma",2,178,356,Supplier A
50010,2016-01-01,1,Purchase,"Shirt type 1, Puma",3,814,2442,Supplier A
50010,2016-01-01,1,Purchase,"Shirt type 2, Puma",1,494,494,Supplier A
50010,2016-01-01,1,Purchase,"Shirt type 3, Puma",3,152,456,Supplier A
50011,2016-01-01,1,Purchase,"Shirt type 4, Puma",1,542,542,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 5, Puma",1,622,622,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 6, Puma",2,330,660,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 7, Puma",1,644,644,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 8, Puma",1,264,264,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 9, Puma",1,425,425,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 10, Puma",1,283,283,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 11, Puma",1,410,410,Supplier B
50011,2016-01-01,1,Purchase,"Shirt type 12, Puma",3,328,984,Supplier B
50011,2016-01-01,1,Purchase,"Sneakers type 1, Reebok",1,1053,1053,Supplier B
50011,2016-01-01,1,Purchase,"Sneakers type 2, Reebok",1,712,712,Supplier B
50011,2016-01-01,1,Purchase,"Sneakers type 3, Reebok",1,1138,1138,Supplier B
50011,2016-01-01,1,Purchase,"Sneakers type 4, Reebok",2,1700,3400,Supplier B
50011,2016-01-01,1,Purchase,"Sneakers type 5, Reebok",3,1172,3516,Supplier B
50011,2016-01-01,1,Purchase,"Sneakers type 6, Reebok",2,1069,2138,Supplier B
50011,2016-01-01,1,Purchase,"Slippers type 1, Reebok",1,312,312,Supplier B
50011,2016-01-01,1,Purchase,"Slippers type 2, Reebok",1,218,218,Supplier B
50011,2016-01-01,1,Purchase,"Slippers type 3, Reebok",2,243,486,Supplier B
50011,2016-01-01,1,Purchase,"Boots type 1, Reebok",1,2535,2535,Supplier B
50011,2016-01-01,1,Purchase,"Boots type 2, Reebok",1,1213,1213,Supplier B
50011,2016-01-01,1,Purchase,"Boots type 3, Reebok",1,3394,3394,Supplier B
50011,2016-01-01,1,Purchase,"Boots type 4, Reebok",3,3769,11307,Supplier B
50011,2016-01-01,1,Purchase,"Boots type 5, Reebok",2,2741,5482,Supplier B
50011,2016-01-01,1,Purchase,"Boots type 6, Reebok",1,2814,2814,Supplier B
50011,2016-01-01,1,Purchase,"Shoes type 1, Reebok",1,3122,3122,Supplier B
50011,2016-01-01,1,Purchase,"Shoes type 2, Reebok",1,2378,2378,Supplier B
50011,2016-01-01,1,Purchase,"Shoes type 3, Reebok",2,1389,2778,Supplier B
50011,2016-01-01,1,Purchase,"Shoes type 4, Reebok",1,3298,3298,Supplier B
50011,2016-01-01,1,Purchase,"Belt type 1, Reebok",1,298,298,Supplier B
50011,2016-01-01,1,Purchase,"Belt type 2, Reebok",3,209,627,Supplier B
50011,2016-01-01,1,Purchase,"Belt type 3, Reebok",1,378,378,Supplier B
50011,2016-01-01,1,Purchase,"Belt type 4, Reebok",3,236,708,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 1, Reebok",1,371,371,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 2, Reebok",1,200,200,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 3, Reebok",4,391,1564,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 4, Reebok",1,419,419,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 5, Reebok",2,146,292,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 6, Reebok",2,221,442,Supplier B
50011,2016-01-01,1,Purchase,"Cufflinks type 7, Reebok",2,267,534,Supplier B
50011,2016-01-01,1,Purchase,"Ball type 1, Reebok",1,43,43,Supplier B
50011,2016-01-01,1,Purchase,"Ball type 2, Reebok",1,47,47,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 1, Reebok",1,265,265,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 2, Reebok",1,176,176,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 3, Reebok",1,253,253,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 4, Reebok",1,124,124,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 5, Reebok",1,112,112,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 6, Reebok",2,107,214,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 7, Reebok",2,195,390,Supplier B
50011,2016-01-01,1,Purchase,"Hat type 8, Reebok",1,209,209,Supplier B
50011,2016-01-01,1,Purchase,"Cap type 1, Reebok",1,245,245,Supplier B
50011,2016-01-01,1,Purchase,"Cap type 2, Reebok",3,105,315,Supplier B
50011,2016-01-01,1,Purchase,"Cap type 3, Reebok",1,157,157,Supplier B
50011,2016-01-01,1,Purchase,"Socks type 1, Reebok",1,182,182,Supplier B
50011,2016-01-01,1,Purchase,"Socks type 2, Reebok",1,210,210,Supplier B
50011,2016-01-01,1,Purchase,"Socks type 3, Reebok",1,184,184,Supplier B
50012,2016-01-01,1,Purchase,"Socks type 4, Reebok",1,393,393,Supplier B
50012,2016-01-01,1,Purchase,"Socks type 5, Reebok",2,111,222,Supplier B
50012,2016-01-01,1,Purchase,"Socks type 6, Reebok",1,380,380,Supplier B
50012,2016-01-01,1,Purchase,"Socks type 7, Reebok",1,151,151,Supplier B
50012,2016-01-01,1,Purchase,"Top type 1, Reebok",1,88,88,Supplier B
50012,2016-01-01,1,Purchase,"Top type 2, Reebok",1,247,247,Supplier B
50013,2016-01-01,1,Purchase,"Top type 3, Reebok",1,263,263,Supplier C
50013,2016-01-01,1,Purchase,"Top type 4, Reebok",1,140,140,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 1, Reebok",1,158,158,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 2, Reebok",1,214,214,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 3, Reebok",1,226,226,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 4, Reebok",2,174,348,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 5, Reebok",2,323,646,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 6, Reebok",2,181,362,Supplier C
50013,2016-01-01,1,Purchase,"T-shirt type 7, Reebok",1,286,286,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 1, Reebok",1,981,981,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 2, Reebok",5,159,795,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 3, Reebok",1,869,869,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 4, Reebok",1,1176,1176,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 5, Reebok",1,1076,1076,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 6, Reebok",1,649,649,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 7, Reebok",1,806,806,Supplier C
50013,2016-01-01,1,Purchase,"Trousers type 8, Reebok",1,1232,1232,Supplier C
50014,2016-01-01,1,Purchase,"Trousers type 9, Reebok",2,336,672,Supplier B
