date,shop_id,cost_type,cost_plan,cost_real
2017-05-01,1,Other expenses,1230.3090862229399,1230.3090862229399
2017-06-01,1,Salary,11808.377103348177,12173.584642626985
2017-06-01,1,Rent,5050.0,5050.0
2017-06-01,1,Utilities,1252.6877609702374,1170.7362252058292
2017-06-01,1,Security,537.0881939351343,559.4668686824316
2017-06-01,1,Stationery,329.80053883950933,277.1433099491675
2017-06-01,1,Marketing,3336.080216958204,2900.9393190940905
2017-06-01,1,Other expenses,1476.3709034675278,1230.3090862229399
2017-07-01,1,Salary,12173.584642626985,12173.584642626985
2017-07-01,1,Rent,5050.0,5050.0
2017-07-01,1,Utilities,1229.2730364661206,1087.8522446602838
2017-07-01,1,Security,579.8252464039313,471.40263935278966
2017-07-01,1,Stationery,316.2541882690968,287.5038075173607
2017-07-01,1,Marketing,2983.8232996396355,2486.5194163663627
2017-07-01,1,Other expenses,1463.4202815072865,1295.0621960241472
2017-08-01,1,Salary,13831.264253537893,11526.05354461491
2017-08-01,1,Rent,5050.0,5050.0
2017-08-01,1,Utilities,1043.3021051170526,1098.2127422284766
2017-08-01,1,Security,486.1145458996239,528.385375977852
2017-08-01,1,Stationery,247.8231018311808,269.3729367730226
2017-08-01,1,Marketing,2003.461217249356,2357.013196763948
2017-08-01,1,Other expenses,1102.615953694959,1113.7534885807665
2017-09-01,1,Salary,11738.44374476287,11396.547325012496
2017-09-01,1,Rent,5050.0,5050.0
2017-09-01,1,Utilities,1236.4217797881738,1056.770751955704
2017-09-01,1,Security,596.764659927927,497.3038832732725
2017-09-01,1,Stationery,313.4050514378436,259.01243920482943
2017-09-01,1,Marketing,2559.042899343715,2460.6181724458797
2017-09-01,1,Other expenses,1312.8045481096779,1204.4078423024569
2017-10-01,1,Salary,14825.872020084436,13986.67171706079
2017-10-01,1,Rent,5050.0,5050.0
2017-10-01,1,Utilities,934.6204856267065,963.5262738419655
2017-10-01,1,Security,651.8825069907148,538.7458735460452
2017-10-01,1,Stationery,211.82037278170952,225.34082210820162
2017-10-01,1,Marketing,2934.6109361907174,2667.8281238097434
2017-10-01,1,Other expenses,1538.533888876687,1424.568415626562
2017-11-01,1,Salary,13344.320867832814,11914.572203422154
2017-11-01,1,Rent,5050.0,5050.0
2017-11-01,1,Utilities,811.4341695408897,911.7237860009997
2017-11-01,1,Security,457.26056017220594,471.40263935278966
2017-11-01,1,Stationery,255.878388690451,230.52107089229818
2017-11-01,1,Marketing,3143.89298706822,2641.9268798892604
2017-11-01,1,Other expenses,1317.855290674172,1372.765927785596
2017-12-01,1,Salary,13971.1309707085,11267.04110541008
2017-12-01,1,Rent,5050.0,5050.0
2017-12-01,1,Utilities,802.3169316808796,911.7237860009997
2017-12-01,1,Security,418.30508931579953,440.32114664821006
2017-12-01,1,Stationery,298.22692250044065,261.60256359687776
2017-12-01,1,Marketing,2591.4194542443183,2253.408221082016
2017-12-01,1,Other expenses,1563.787601699158,1359.8153058253547
2018-01-01,1,Salary,14530.597839390934,14245.684156265621
2018-01-01,1,Rent,5050.0,5050.0
2018-01-01,1,Utilities,1429.7486644106584,1191.4572203422154
2018-01-01,1,Security,383.07939758394275,450.68164421640324
2018-01-01,1,Stationery,214.4882009055193,235.70131967639483
2018-01-01,1,Marketing,3248.793024946175,2926.8405630145726
2018-01-01,1,Other expenses,1573.7595806085437,1269.1609521036644
2018-02-01,1,Salary,11431.514004305147,12562.103301434228
2018-02-01,1,Rent,5050.0,5050.0
2018-02-01,1,Utilities,1038.9506961384118,1129.2942349330563
2018-02-01,1,Security,629.5038322434174,507.6643808414657
2018-02-01,1,Stationery,322.80720298097896,266.78281238097435
2018-02-01,1,Marketing,3395.653077975314,2952.7418069350556
2018-02-01,1,Other expenses,1440.6271868572614,1398.667171706079
2018-03-01,1,Salary,14292.306395322486,11526.05354461491
2018-03-01,1,Rent,5050.0,5050.0
2018-03-01,1,Utilities,783.7716410338139,880.6422932964201
2018-03-01,1,Security,650.9500622095775,533.5656247619487
2018-03-01,1,Stationery,314.8037186095497,266.78281238097435
2018-03-01,1,Marketing,3514.7988000095356,2978.6430508555386
2018-03-01,1,Other expenses,968.9655350652669,1113.7534885807665
2018-04-01,1,Salary,14103.227314702965,14245.684156265621
2018-04-01,1,Rent,5050.0,5050.0
2018-04-01,1,Utilities,899.9128187732595,1046.410254387511
2018-04-01,1,Security,714.5635172782836,590.5483613870111
2018-04-01,1,Stationery,310.8149270457953,248.65194163663625
2018-04-01,1,Marketing,2051.3785185022493,2279.309465002499
2018-04-01,1,Other expenses,1119.5812684628754,1230.3090862229399
2018-05-01,1,Salary,15512.254983977235,13727.65927785596
2018-05-01,1,Rent,5050.0,5050.0
2018-05-01,1,Utilities,988.3914680056291,932.4447811373859
2018-05-01,1,Security,475.54683838006684,528.385375977852
2018-05-01,1,Stationery,205.1378518502249,233.11119528434648
2018-05-01,1,Marketing,2447.6675504856385,2331.111952843465
2018-05-01,1,Other expenses,1413.1718683015495,1139.6547325012496
2018-06-01,1,Salary,13567.071565548966,13986.67171706079
2018-06-01,1,Rent,5050.0,5050.0
2018-06-01,1,Utilities,1032.3199776947683,973.8867714101588
2018-06-01,1,Security,544.3923447207106,585.3681126029146
2018-06-01,1,Stationery,253.57317798152803,284.9136831253124
2018-06-01,1,Marketing,3377.004182352566,2745.531855571192
2018-06-01,1,Other expenses,1402.5523582941514,1476.3709034675278
2018-07-01,1,Salary,15587.368591346636,13209.634399446302
2018-07-01,1,Rent,5050.0,5050.0
2018-07-01,1,Utilities,1099.1451870096143,1067.1312495238974
2018-07-01,1,Security,442.91127104025827,466.22239056869296
2018-07-01,1,Stationery,366.37309525523125,297.86430508555384
2018-07-01,1,Marketing,2864.159552727004,2952.7418069350556
2018-07-01,1,Other expenses,1143.1514004305147,1256.2103301434229
2018-08-01,1,Salary,16970.495016700424,14504.696595470448
2018-08-01,1,Rent,5050.0,5050.0
2018-08-01,1,Utilities,883.3360226641504,901.3632884328065
2018-08-01,1,Security,436.5913675236606,445.5013954323067
2018-08-01,1,Stationery,234.35445499252967,269.3729367730226
2018-08-01,1,Marketing,2552.8266008027995,2900.9393190940905
2018-08-01,1,Other expenses,1425.9929840421887,1178.506598381974
2018-09-01,1,Salary,11810.967227740222,12432.597081831813
2018-09-01,1,Rent,5050.0,5050.0
2018-09-01,1,Utilities,1206.7907567431414,1077.4917470920905
2018-09-01,1,Security,702.7525500505432,590.5483613870111
2018-09-01,1,Stationery,226.1178594258161,233.11119528434648
2018-09-01,1,Marketing,2597.894765224439,2201.60573324105
2018-09-01,1,Other expenses,1208.0340164513245,1372.765927785596
2018-10-01,1,Salary,11810.967227740222,
2018-10-01,1,Rent,5050.0,
2018-10-01,1,Utilities,1206.7907567431414,
2018-10-01,1,Security,702.7525500505432,
2018-10-01,1,Stationery,226.1178594258161,
2018-10-01,1,Marketing,2597.894765224439,
2018-10-01,1,Other expenses,1208.0340164513245,
2018-11-01,1,Salary,11810.967227740222,
2018-11-01,1,Rent,5050.0,
2018-11-01,1,Utilities,1206.7907567431414,
2018-11-01,1,Security,702.7525500505432,
2018-11-01,1,Stationery,226.1178594258161,
2018-11-01,1,Marketing,2597.894765224439,
2018-11-01,1,Other expenses,1208.0340164513245,
2018-12-01,1,Salary,11810.967227740222,
2018-12-01,1,Rent,5050.0,
2018-12-01,1,Utilities,1206.7907567431414,
2018-12-01,1,Security,702.7525500505432,
2018-12-01,1,Stationery,226.1178594258161,
2018-12-01,1,Marketing,2597.894765224439,
2018-12-01,1,Other expenses,1208.0340164513245,
2016-01-01,2,Salary,10506.531248201998,11939.240054774997
2016-01-01,2,Rent,11250.000000000002,11250.000000000002
2016-01-01,2,Utilities,1048.1567382632923,1204.7778600727497
2016-01-01,2,Security,551.6471598035811,515.5580932743749
2016-01-01,2,Stationery,257.31775781688924,295.76753772056236
2016-01-01,2,Marketing,3442.8426776132987,2822.002194764999
2016-01-01,2,Other expenses,1245.479814804937,1221.0586419656245
2016-02-01,2,Salary,12894.379259156995,13431.645061621868
2016-02-01,2,Rent,11250.000000000002,11250.000000000002
2016-02-01,2,Utilities,1094.0685432011994,1139.6547325012496
2016-02-01,2,Security,447.45015568918103,526.4119478696248
2016-02-01,2,Stationery,301.95423483985485,282.20021947649985
2016-02-01,2,Marketing,3096.876062389705,3066.213923158124
2016-02-01,2,Other expenses,1207.491323721562,1356.7318244062494
2016-03-01,2,Salary,12764.133004013996,13024.625514299996
2016-03-01,2,Rent,11250.000000000002,11250.000000000002
2016-03-01,2,Utilities,1418.3817185072696,1172.2162962869998
2016-03-01,2,Security,643.904923863206,613.2427846316248
2016-03-01,2,Stationery,247.46788477169991,260.4925102859999
2016-03-01,2,Marketing,2784.013703681624,2577.790466371874
2016-03-01,2,Other expenses,1551.151494843665,1505.972325090937
2016-04-01,2,Salary,17942.778377772647,15602.415980671867
2016-04-01,2,Rent,11250.000000000002,11250.000000000002
2016-04-01,2,Utilities,1153.2220507453121,922.5776405962497
2016-04-01,2,Security,595.5510016413673,504.7042386791248
2016-04-01,2,Stationery,303.5551783926543,306.6213923158124
2016-04-01,2,Marketing,2907.747646067474,2550.655829883749
2016-04-01,2,Other expenses,1168.5531203611029,1343.164506162187
2016-05-01,2,Salary,13480.487407300496,14652.703703587495
2016-05-01,2,Rent,11250.000000000002,11250.000000000002
2016-05-01,2,Utilities,1226.4855692632495,1085.3854595249995
2016-05-01,2,Security,698.9882359340997,624.0966392268748
2016-05-01,2,Stationery,354.92104526467483,295.76753772056236
2016-05-01,2,Marketing,3021.713119317599,2604.9251028599992
2016-05-01,2,Other expenses,1227.5709547227746,1411.0010973824994
2016-06-01,2,Salary,14853.50001359962,12481.932784537496
2016-06-01,2,Rent,11250.000000000002,11250.000000000002
2016-06-01,2,Utilities,1031.5503407325598,1172.2162962869998
2016-06-01,2,Security,468.50663360396607,526.4119478696248
2016-06-01,2,Stationery,367.1316316843311,298.4810013693749
2016-06-01,2,Marketing,2839.63970848228,2469.251920419374
2016-06-01,2,Other expenses,1933.3428497789055,1546.6742798231244
2016-07-01,2,Salary,13415.364279728992,13974.337791384369
2016-07-01,2,Rent,11250.000000000002,11250.000000000002
2016-07-01,2,Utilities,1361.0733662443495,1193.9240054774996
2016-07-01,2,Security,529.2339500643898,575.2542935482497
2016-07-01,2,Stationery,292.5113813419874,265.91943758362487
2016-07-01,2,Marketing,2144.9930143862807,2523.5211933956243
2016-07-01,2,Other expenses,1475.8528785891183,1505.972325090937
2016-08-01,2,Salary,12039.63820978106,11803.566872334372
2016-08-01,2,Rent,11250.000000000002,11250.000000000002
2016-08-01,2,Utilities,1264.2569832547194,1128.8008779059994
2016-08-01,2,Security,707.5627810643472,575.2542935482497
2016-08-01,2,Stationery,290.50341824186614,274.0598285300624
2016-08-01,2,Marketing,2606.2818346844056,3066.213923158124
2016-08-01,2,Other expenses,1368.6710644610243,1411.0010973824994
2016-09-01,2,Salary,17474.70589835249,15602.415980671867
2016-09-01,2,Rent,11250.000000000002,11250.000000000002
2016-09-01,2,Utilities,934.8424962888822,944.2853497867497
2016-09-01,2,Security,572.8664455372949,493.85038408387487
2016-09-01,2,Stationery,348.0288475966911,287.62714677412487
2016-09-01,2,Marketing,2384.320508211543,2740.598285300624
2016-09-01,2,Other expenses,1510.0425205641557,1424.568415626562
2016-10-01,2,Salary,17921.07066858215,15059.723250909368
2016-10-01,2,Rent,11250.000000000002,11250.000000000002
2016-10-01,2,Utilities,1128.8008779059994,1128.8008779059994
2016-10-01,2,Security,591.9692296249348,548.1196570601248
2016-10-01,2,Stationery,281.7660652926899,238.78480109549992
2016-10-01,2,Marketing,3480.288475966912,2876.271467741249
2016-10-01,2,Other expenses,1451.703052114687,1356.7318244062494
2016-11-01,2,Salary,11103.493250940746,12617.60596697812
2016-11-01,2,Rent,11250.000000000002,11250.000000000002
2016-11-01,2,Utilities,961.4344400472447,1117.9470233107497
2016-11-01,2,Security,575.6884477320597,564.4004389529997
2016-11-01,2,Stationery,279.3782172817349,238.78480109549992
2016-11-01,2,Marketing,3221.424043870199,3039.0792866699994
2016-11-01,2,Other expenses,1062.5923648749747,1207.4913237215621
2016-12-01,2,Salary,12983.92355956781,11803.566872334372
2016-12-01,2,Rent,11250.000000000002,11250.000000000002
2016-12-01,2,Utilities,1068.4534463564096,998.5546227629997
2016-12-01,2,Security,579.0531426565873,526.4119478696248
2016-12-01,2,Stationery,311.6141654296274,268.6329012324374
2016-12-01,2,Marketing,1960.4774862670304,2306.4441014906242
2016-12-01,2,Other expenses,1343.164506162187,1221.0586419656245
2017-01-01,2,Salary,12484.646248186305,14517.030521146868
2017-01-01,2,Rent,11250.000000000002,11250.000000000002
2017-01-01,2,Utilities,1361.5075204281595,1215.6317146679996
2017-01-01,2,Security,429.37848778808984,466.71574759574986
2017-01-01,2,Stationery,252.35211933956236,252.3521193395624
2017-01-01,2,Marketing,2170.228226320237,2333.5787379787494
2017-01-01,2,Other expenses,1596.8733573261552,1451.7030521146867
2017-02-01,2,Salary,18869.42621384212,15466.742798231246
2017-02-01,2,Rent,11250.000000000002,11250.000000000002
2017-02-01,2,Utilities,1040.6675785925697,1020.2623319534997
2017-02-01,2,Security,396.7083854563873,461.28882029812485
2017-02-01,2,Stationery,343.25315157478116,298.4810013693749
2017-02-01,2,Marketing,2713.192302447618,2740.598285300624
2017-02-01,2,Other expenses,1316.029869674062,1356.7318244062494
2017-03-01,2,Salary,18824.65406363671,15059.723250909368
2017-03-01,2,Rent,11250.000000000002,11250.000000000002
2017-03-01,2,Utilities,1045.4432746144798,1215.6317146679996
2017-03-01,2,Security,668.5974430673997,596.9620027387498
2017-03-01,2,Stationery,266.1907839485061,244.21172839312487
2017-03-01,2,Marketing,2352.5729835204365,2306.4441014906242
2017-03-01,2,Other expenses,1443.5626611682496,1288.895233185937
2017-04-01,2,Salary,11819.847654227244,13431.645061621868
2017-04-01,2,Rent,11250.000000000002,11250.000000000002
2017-04-01,2,Utilities,1030.4649552730348,1096.2393141202497
2017-04-01,2,Security,644.556155138921,580.6812208458748
2017-04-01,2,Stationery,262.9346275699312,230.64441014906242
2017-04-01,2,Marketing,2564.223148127812,2849.136831253124
2017-04-01,2,Other expenses,1831.5879629484368,1465.2703703587495
2017-05-01,2,Salary,17474.705898352495,15195.396433349995
2017-05-01,2,Rent,11250.000000000002,11250.000000000002
2017-05-01,2,Utilities,1373.0126062991246,1193.9240054774996
2017-05-01,2,Security,580.4098744809935,504.7042386791248
2017-05-01,2,Stationery,319.4289407382074,293.05407407174994
2017-05-01,2,Marketing,2962.5596117734867,2794.867558276874
2017-05-01,2,Other expenses,1546.6742798231242,1356.7318244062494
2017-06-01,2,Salary,15527.795730329526,14788.37688602812
2017-06-01,2,Rent,11250.000000000002,11250.000000000002
2017-06-01,2,Utilities,1508.577250193797,1226.4855692632495
2017-06-01,2,Security,532.0559522591548,618.6697119292497
2017-06-01,2,Stationery,268.36155486755615,312.0483196134374
2017-06-01,2,Marketing,2649.6972530654057,2849.136831253124
2017-06-01,2,Other expenses,1192.1602541057714,1180.356687233437
2017-07-01,2,Salary,12502.283761903587,13160.29869674062
2017-07-01,2,Rent,11250.000000000002,11250.000000000002
2017-07-01,2,Utilities,959.4807462200995,1128.8008779059994
2017-07-01,2,Security,558.7564345634698,537.2658024648748
2017-07-01,2,Stationery,224.67479012167487,244.21172839312487
2017-07-01,2,Marketing,2777.230044559593,2414.9826474431243
2017-07-01,2,Other expenses,1210.7474801001372,1248.1932784537496
2017-08-01,2,Salary,19346.995816033115,15602.415980671867
2017-08-01,2,Rent,11250.000000000002,11250.000000000002
2017-08-01,2,Utilities,915.9567892931472,1052.8238957392496
2017-08-01,2,Security,661.9765917642974,580.6812208458748
2017-08-01,2,Stationery,284.75087530638365,268.6329012324374
2017-08-01,2,Marketing,2738.427514381574,2360.713374466874
2017-08-01,2,Other expenses,1160.8197489619872,1261.7605966978122
2017-09-01,2,Salary,10988.171045866215,12074.91323721562
2017-09-01,2,Rent,11250.000000000002,11250.000000000002
2017-09-01,2,Utilities,1160.4941333241297,1172.2162962869998
2017-09-01,2,Security,522.6130987612872,488.42345678624974
2017-09-01,2,Stationery,281.49471892780866,246.92519204193744
2017-09-01,2,Marketing,3106.6445315254296,2903.4061042293733
2017-09-01,2,Other expenses,1644.3589711803745,1370.299142650312
2017-10-01,2,Salary,17214.213388066495,14110.010973824996
2017-10-01,2,Rent,11250.000000000002,11250.000000000002
2017-10-01,2,Utilities,1481.8767678894822,1204.7778600727497
2017-10-01,2,Security,438.2243792832186,461.28882029812485
2017-10-01,2,Stationery,307.59823922938483,282.20021947649985
2017-10-01,2,Marketing,2831.2279711709616,3011.944650181874
2017-10-01,2,Other expenses,1329.5971879181245,1356.7318244062494
2017-11-01,2,Salary,15662.112180945744,15059.723250909368
2017-11-01,2,Rent,11250.000000000002,11250.000000000002
2017-11-01,2,Utilities,821.0941001306621,965.9930589772496
2017-11-01,2,Security,504.0530074034099,466.71574759574986
2017-11-01,2,Stationery,239.87018655502487,282.20021947649985
2017-11-01,2,Marketing,3137.306670757011,2550.655829883749
2017-11-01,2,Other expenses,1610.7120219350995,1438.1357338706246
2017-12-01,2,Salary,15511.51494843665,13974.337791384369
2017-12-01,2,Rent,11250.000000000002,11250.000000000002
2017-12-01,2,Utilities,1140.3059637769647,1117.9470233107497
2017-12-01,2,Security,542.4756526705947,553.5465843577498
2017-12-01,2,Stationery,346.04801913305795,295.76753772056236
2017-12-01,2,Marketing,2423.1230383895613,2550.655829883749
2017-12-01,2,Other expenses,1566.2112180945742,1411.0010973824994
2018-01-01,2,Salary,14457.334320872997,13024.625514299996
2018-01-01,2,Rent,11250.000000000002,11250.000000000002
2018-01-01,2,Utilities,1152.8964351074546,1020.2623319534997
2018-01-01,2,Security,592.1863067168398,477.56960219099983
2018-01-01,2,Stationery,221.9070571998862,236.07133744668744
2018-01-01,2,Marketing,3428.732666639474,2930.540740717499
2018-01-01,2,Other expenses,1298.3923559567806,1180.356687233437
2018-02-01,2,Salary,12243.147983441995,13024.625514299996
2018-02-01,2,Rent,11250.000000000002,11250.000000000002
2018-02-01,2,Utilities,905.4285503357547,933.4314951914997
2018-02-01,2,Security,609.2811277043586,558.9735116553749
2018-02-01,2,Stationery,368.10847859790357,309.33485596462486
2018-02-01,2,Marketing,3253.442914926187,2984.810013693749
2018-02-01,2,Other expenses,1543.1467770796683,1275.3279149418745
2018-03-01,2,Salary,11331.424197440998,11803.566872334372
2018-03-01,2,Rent,11250.000000000002,11250.000000000002
2018-03-01,2,Utilities,917.6934060283871,965.9930589772496
2018-03-01,2,Security,480.71722002362236,466.71574759574986
2018-03-01,2,Stationery,257.6162388182587,255.06558298837493
2018-03-01,2,Marketing,3042.0640966836927,3011.944650181874
2018-03-01,2,Other expenses,1421.312259247987,1465.2703703587495
2018-04-01,2,Salary,16097.62309658015,14245.68415626562
2018-04-01,2,Rent,11250.000000000002,11250.000000000002
2018-04-01,2,Utilities,1341.5364279728997,1117.9470233107497
2018-04-01,2,Security,650.0373517095222,575.2542935482497
2018-04-01,2,Stationery,324.2046367601174,279.48675582768743
2018-04-01,2,Marketing,2450.2576748776864,2849.136831253124
2018-04-01,2,Other expenses,1185.783614531062,1248.1932784537496
2018-05-01,2,Salary,11667.893689893745,13567.318244062495
2018-05-01,2,Rent,11250.000000000002,11250.000000000002
2018-05-01,2,Utilities,1054.9946666582998,1172.2162962869998
2018-05-01,2,Security,586.7593794192147,575.2542935482497
2018-05-01,2,Stationery,272.5402888867274,252.3521193395624
2018-05-01,2,Marketing,3353.841069932249,2794.867558276874
2018-05-01,2,Other expenses,1312.2310205657245,1411.0010973824994
2018-06-01,2,Salary,11700.455253679496,13295.971879181247
2018-06-01,2,Rent,11250.000000000002,11250.000000000002
2018-06-01,2,Utilities,1036.1089596625648,1204.7778600727497
2018-06-01,2,Security,579.7043739323021,531.8388751672497
2018-06-01,2,Stationery,322.3594814789249,298.4810013693749
2018-06-01,2,Marketing,3069.470079536699,2740.598285300624
2018-06-01,2,Other expenses,1410.458404652737,1533.106961579062
2018-07-01,2,Salary,11852.409218012994,12346.259602096869
2018-07-01,2,Rent,11250.000000000002,11250.000000000002
2018-07-01,2,Utilities,1237.3394238584997,1031.1161865487497
2018-07-01,2,Security,638.5322658385572,575.2542935482497
2018-07-01,2,Stationery,247.41361549872366,263.2059739348124
2018-07-01,2,Marketing,2905.0341824186617,2740.598285300624
2018-07-01,2,Other expenses,1122.9669310610527,1207.4913237215621
2018-08-01,2,Salary,14384.070802355058,12617.60596697812
2018-08-01,2,Rent,11250.000000000002,11250.000000000002
2018-08-01,2,Utilities,1223.2294128846747,1248.1932784537496
2018-08-01,2,Security,462.6998213955074,472.1426748933749
2018-08-01,2,Stationery,322.22380829648426,257.77904663718743
2018-08-01,2,Marketing,2981.825203680055,3011.944650181874
2018-08-01,2,Other expenses,1439.2211193301493,1383.8664608943745
