bill,date,time,item,amount,total,payment_type(cash/card),buyer_id,purchase_price
100000218,27-05-2017,12:57:12,"Sneakers type 3, Nike",1,2651.176,cash,,1282
100000218,27-05-2017,12:57:12,"Trousers type 7, Adidas",1,1984.32,cash,,954
100000218,27-05-2017,12:57:12,"T-shirt type 1, Adidas",1,418.509,cash,,219
100000247,18-08-2017,18:25:33,"Socks type 7, Nike",1,321.03808,card,,151
100000247,18-08-2017,18:25:33,"Shoes type 3, Reebok",1,2500.2,card,,1389
100000249,08-12-2016,20:24:25,"Cufflinks type 6, Reebok",1,396.7392,card,,221
100000249,08-12-2016,20:24:25,"Trousers type 9, Puma",1,858.28,card,,499
100000266,04-09-2016,11:45:20,"Shirt type 6, Puma",1,551.76,cash,,330
100000268,17-06-2017,19:56:02,"Shirt type 5, Nike",1,911.744,cash,,419
100000268,17-06-2017,19:56:02,"Boots type 4, Nike",1,6929.088,cash,,2868
100000271,19-09-2016,12:20:52,"T-shirt type 1, Reebok",2,619.36,card,,316
100000271,19-09-2016,12:20:52,"Hat type 6, Nike",1,510.024,card,,237
100000282,23-01-2018,20:18:23,"Sneakers type 1, Adidas",1,2771.1044,cash,,1748
100000289,26-02-2018,20:51:39,"Trousers type 11, Puma",1,544.824,cash,,329
100000289,26-02-2018,20:51:39,"Top type 2, Puma",1,624.0,cash,,390
100000289,26-02-2018,20:51:39,"Shoes type 2, Puma",1,3008.49792,cash,,2032
100000304,13-09-2017,16:10:18,"Trousers type 3, Puma",2,825.6,cash,,516
100000321,13-03-2016,14:23:24,"Cufflinks type 4, Reebok",1,656.992,cash,,419
100000325,22-07-2016,14:15:28,"Shoes type 3, Reebok",1,2375.19,card,,1389
100000328,03-08-2017,13:49:02,"Slippers type 1, Nike",1,371.68,cash,,184
100000328,03-08-2017,13:49:02,"Cufflinks type 1, Nike",1,495.824,cash,,233
100000349,26-11-2017,20:08:13,"Hat type 6, Puma",1,340.6572,cash,,251
100000351,29-08-2018,18:01:02,"Boots type 5, Adidas",2,5720.58,cash,,3126
100000351,29-08-2018,18:01:02,"Trousers type 8, Reebok",2,4585.9968,cash,,2464
100000351,29-08-2018,18:01:02,"Trousers type 12, Nike",1,1640.312,cash,,758
100000351,29-08-2018,18:01:02,"Slippers type 2, Adidas",1,677.9524,cash,,346
100000366,03-02-2018,12:24:19,"Shoes type 1, Adidas",1,3712.5,card,735.0,1875
100000398,01-10-2016,11:47:19,"Sneakers type 3, Reebok",1,2059.78,card,,1138
100000398,01-10-2016,11:47:19,"T-shirt type 2, Nike",1,431.136,card,,216
100000398,01-10-2016,11:47:19,"T-shirt type 2, Reebok",1,385.2,card,,214
100000418,24-02-2016,20:33:55,"Cufflinks type 1, Nike",1,495.824,cash,,233
100000428,24-07-2018,20:37:18,"Shirt type 3, Adidas",1,747.72,cash,899.0,372
100000432,04-04-2018,13:48:05,"Trousers type 1, Puma",1,621.18144,card,,418
100000434,27-05-2018,13:14:03,"Top type 1, Reebok",1,158.928,card,,88
100000434,27-05-2018,13:14:03,"Slippers type 3, Reebok",2,962.28,card,,486
100000434,27-05-2018,13:14:03,"Socks type 7, Puma",1,554.4448,card,,320
100000447,20-08-2018,10:26:40,"Shirt type 10, Adidas",1,446.9,cash,,205
100000447,20-08-2018,10:26:40,"Slippers type 3, Adidas",2,534.8722,cash,,302
100000447,20-08-2018,10:26:40,"Boots type 5, Nike",2,16014.36,cash,,7086
100000450,12-05-2017,16:19:02,"Slippers type 1, Adidas",1,376.272,cash,,195
100000450,12-05-2017,16:19:02,"T-shirt type 3, Adidas",1,623.28,cash,,318
100000450,12-05-2017,16:19:02,"Socks type 3, Reebok",1,356.96,cash,,184
100000450,12-05-2017,16:19:02,"Cap type 2, Reebok",1,172.788,cash,,105
100000463,10-11-2016,14:44:54,"Trousers type 12, Reebok",1,542.82,cash,,249
100000463,10-11-2016,14:44:54,"Shirt type 1, Nike",1,1394.64288,cash,,837
100000484,14-03-2016,19:23:22,"Hat type 2, Reebok",1,348.128,cash,,176
100000498,07-05-2017,13:49:49,"Trousers type 1, Nike",2,4550.072,cash,741.0,1874
100000498,07-05-2017,13:49:49,"Top type 4, Nike",1,321.824,cash,741.0,178
100000498,07-05-2017,13:49:49,"Cap type 3, Adidas",1,380.21,cash,741.0,197
100000498,07-05-2017,13:49:49,"T-shirt type 1, Reebok",1,309.68,cash,741.0,158
100000498,07-05-2017,13:49:49,"Belt type 3, Puma",1,593.712,cash,741.0,342
100000520,06-07-2018,10:36:33,"Boots type 2, Nike",2,11867.904,card,,5454
100000525,04-03-2016,12:25:20,"Trousers type 4, Adidas",1,1299.315,card,,705
100000525,04-03-2016,12:25:20,"Cufflinks type 6, Puma",1,365.72,card,,205
100000533,23-07-2017,18:20:09,"Top type 1, Reebok",1,189.2,cash,,88
100000533,23-07-2017,18:20:09,"Cap type 1, Puma",1,237.984,cash,,134
100000533,23-07-2017,18:20:09,"Sneakers type 4, Adidas",1,1544.51,cash,,739
100000533,23-07-2017,18:20:09,"Hat type 5, Puma",1,234.08,cash,,140
100000533,23-07-2017,18:20:09,"Shirt type 10, Adidas",1,361.989,cash,,205
100000543,02-08-2018,14:20:41,"Cufflinks type 7, Nike",1,482.74128,card,,252
100000544,09-09-2016,20:47:44,"Sneakers type 4, Adidas",2,2718.3376,cash,,1478
100000554,26-07-2016,15:46:20,"Belt type 3, Nike",1,469.264,card,,211
100000554,26-07-2016,15:46:20,"T-shirt type 2, Adidas",1,439.3224,card,,258
100000556,23-01-2017,15:40:50,"Shirt type 10, Nike",1,397.46,cash,,167
100000556,23-01-2017,15:40:50,"Shirt type 11, Puma",1,734.72,cash,,410
100000558,23-03-2017,16:43:24,"T-shirt type 4, Puma",1,297.344,card,,184
100000570,04-02-2017,17:34:08,"Shirt type 12, Reebok",1,1149.183,card,,629
100000582,21-06-2018,14:30:34,"T-shirt type 3, Reebok",2,828.516,cash,110.0,452
100000583,13-08-2018,15:04:06,"Shirt type 12, Adidas",1,820.8,cash,,456
100000583,13-08-2018,15:04:06,"Hat type 2, Reebok",1,374.616,cash,,176
100000583,13-08-2018,15:04:06,"Boots type 2, Puma",1,1927.072,cash,,1229
100000583,13-08-2018,15:04:06,"Hat type 6, Nike",1,510.024,cash,,237
100000592,31-10-2017,13:28:21,"Slippers type 1, Adidas",1,391.95,cash,,195
100000592,31-10-2017,13:28:21,"Hat type 2, Nike",1,546.448,cash,,238
100000597,05-10-2016,18:25:38,"Sneakers type 6, Puma",1,2577.472,cash,,1564
100000597,05-10-2016,18:25:38,"Top type 2, Puma",1,624.0,cash,,390
100000620,07-11-2017,20:59:28,"Hat type 7, Adidas",2,647.68,cash,638.0,352
100000620,07-11-2017,20:59:28,"Ball type 1, Adidas",1,60.45,cash,638.0,31
100000620,07-11-2017,20:59:28,"Trousers type 1, Nike",1,2275.036,cash,638.0,937
100000623,24-05-2018,13:00:22,"Hat type 4, Adidas",1,562.8,card,894.0,280
100000626,26-03-2017,13:21:14,"Belt type 2, Adidas",1,325.95,card,1123.0,159
100000627,26-03-2018,16:59:49,"Shirt type 4, Adidas",2,717.96,card,,372
100000627,26-03-2018,16:59:49,"Cufflinks type 5, Nike",1,949.648,card,,427
100000627,26-03-2018,16:59:49,"Shoes type 4, Reebok",1,6167.26,card,,3298
100000627,26-03-2018,16:59:49,"Trousers type 7, Nike",1,2163.30264,card,,1299
100000635,31-08-2016,12:23:58,"Top type 1, Puma",1,420.784,cash,319.0,238
100000641,28-05-2017,10:02:22,"T-shirt type 2, Puma",1,313.6,cash,,200
100000641,28-05-2017,10:02:22,"Socks type 6, Nike",1,536.52,cash,,255
100000641,28-05-2017,10:02:22,"Cap type 3, Nike",1,357.06,cash,,165
100000672,16-02-2016,09:34:46,"Shirt type 2, Adidas",1,1007.4,card,447.0,460
100000676,02-08-2016,15:32:39,"Slippers type 1, Reebok",1,610.896,cash,,312
100000700,28-05-2016,14:02:14,"Sneakers type 5, Nike",1,2394.24768,card,653.0,1206
100000710,30-12-2016,10:34:35,"Shirt type 7, Adidas",1,1550.25,cash,,795
100000728,01-01-2017,17:43:30,"Socks type 1, Reebok",1,343.98,card,,182
100000765,30-06-2017,09:47:55,"Shirt type 12, Nike",1,974.028,cash,,471
100000765,30-06-2017,09:47:55,"Shirt type 7, Reebok",2,2620.52,cash,,1372
100000765,30-06-2017,09:47:55,"Boots type 2, Reebok",1,2607.95,cash,,1213
100000792,18-02-2017,14:53:29,"Cap type 1, Nike",1,436.96128,cash,1156.0,224
100000792,18-02-2017,14:53:29,"Ball type 2, Reebok",1,100.11,cash,1156.0,47
100000792,18-02-2017,14:53:29,"Boots type 3, Adidas",1,6357.88,cash,1156.0,2999
100000800,24-08-2016,19:36:44,"Boots type 1, Reebok",1,4917.9,cash,,2535
100000800,24-08-2016,19:36:44,"Shirt type 11, Reebok",2,2962.96,cash,,1628
100000832,10-12-2017,12:43:24,"Sneakers type 4, Nike",1,1782.428,card,,893
100000832,10-12-2017,12:43:24,"Hat type 4, Nike",1,573.672,card,,246
100000832,10-12-2017,12:43:24,"Cufflinks type 2, Reebok",1,432.0,card,,200
100000855,09-12-2017,10:12:50,"Shirt type 11, Puma",1,602.4704,cash,,410
100000860,24-03-2017,18:53:46,"T-shirt type 6, Reebok",2,742.1,cash,,362
100000860,24-03-2017,18:53:46,"Trousers type 4, Adidas",1,1084.995,cash,,705
100000861,26-12-2016,11:01:02,"Top type 4, Puma",2,469.504,cash,,262
100000861,26-12-2016,11:01:02,"T-shirt type 3, Reebok",1,440.7,cash,,226
100000865,02-11-2016,15:20:19,"Cap type 1, Puma",2,475.968,cash,,268
100000870,04-01-2016,20:31:32,"Socks type 4, Puma",1,297.024,card,,168
100000870,04-01-2016,20:31:32,"Top type 4, Nike",1,402.28,card,,178
100000870,04-01-2016,20:31:32,"Hat type 5, Puma",1,198.968,card,,140
100000870,04-01-2016,20:31:32,"Shirt type 10, Reebok",1,923.0904,card,,531
100000876,30-10-2017,14:47:22,"Socks type 3, Puma",2,1212.928,card,,736
100000876,30-10-2017,14:47:22,"Boots type 6, Adidas",1,5889.38,card,,2714
100000882,13-08-2016,12:59:33,"Top type 3, Reebok",1,487.3653,cash,858.0,263
100000882,13-08-2016,12:59:33,"Slippers type 3, Adidas",1,300.49,cash,858.0,151
100000897,27-01-2017,18:32:28,"Hat type 5, Adidas",1,322.74,cash,,163
100000924,14-10-2016,20:41:06,"Trousers type 4, Adidas",1,1339.5,cash,,705
100000924,14-10-2016,20:41:06,"Socks type 4, Reebok",1,663.5412,cash,,393
100000924,14-10-2016,20:41:06,"Cap type 2, Puma",1,314.64,cash,,190
100000925,24-07-2017,13:52:11,"Trousers type 9, Puma",2,1716.56,cash,,998
100000946,21-07-2018,11:54:37,"Trousers type 9, Reebok",2,1082.5248,card,,672
100000949,01-05-2018,19:20:34,"Trousers type 1, Nike",1,1979.28132,card,,937
100000951,17-02-2017,16:44:01,"Slippers type 1, Nike",1,371.68,cash,,184
100000951,17-02-2017,16:44:01,"Boots type 2, Adidas",1,6783.45,cash,,3309
100000951,17-02-2017,16:44:01,"Boots type 6, Adidas",1,5889.38,cash,,2714
100000951,17-02-2017,16:44:01,"Trousers type 2, Reebok",1,335.49,cash,,159
100000951,17-02-2017,16:44:01,"Shirt type 5, Adidas",1,1433.36,cash,,779
100000951,17-02-2017,16:44:01,"Cufflinks type 7, Reebok",2,1025.28,cash,,534
100000951,17-02-2017,16:44:01,"Trousers type 6, Reebok",1,1257.762,cash,,649
100000951,17-02-2017,16:44:01,"Shoes type 2, Nike",1,3792.536,cash,,1562
100000951,17-02-2017,16:44:01,"Trousers type 8, Adidas",1,2127.06,cash,,1053
100000951,17-02-2017,16:44:01,"Shirt type 5, Reebok",1,971.88,cash,,534
100000956,21-05-2017,09:09:58,"Sneakers type 5, Adidas",2,3241.62,card,,1566
100000964,09-11-2017,18:03:35,"Trousers type 10, Reebok",1,343.44,card,,162
100000988,11-08-2016,10:19:47,"Hat type 7, Reebok",1,299.52,card,,195
100001003,07-06-2016,11:58:05,"Top type 1, Adidas",1,797.16,card,,364
100001003,07-06-2016,11:58:05,"Boots type 4, Adidas",1,7128.99,card,,3411
100001012,07-11-2016,13:19:10,"Cufflinks type 4, Nike",1,386.12,card,1153.0,197
100001012,07-11-2016,13:19:10,"Sneakers type 5, Puma",2,1947.36624,card,1153.0,1406
100001012,07-11-2016,13:19:10,"Shoes type 4, Reebok",2,10607.6872,card,1153.0,6596
100001022,12-06-2017,18:58:19,"Hat type 1, Puma",1,470.016,card,,288
100001022,12-06-2017,18:58:19,"Slippers type 2, Reebok",2,937.4,card,,436
100001022,12-06-2017,18:58:19,"Cap type 3, Reebok",1,315.57,card,,157
100001022,12-06-2017,18:58:19,"Slippers type 3, Nike",1,313.536,card,,138
100001029,08-04-2017,20:29:13,"Socks type 4, Nike",1,269.50284,card,,123
100001029,08-04-2017,20:29:13,"Hat type 2, Puma",1,380.16,card,,220
100001029,08-04-2017,20:29:13,"Top type 1, Nike",1,318.8104,card,,139
100001029,08-04-2017,20:29:13,"Cufflinks type 3, Puma",1,564.5952,card,,390
100001042,07-06-2016,14:38:42,"Boots type 4, Reebok",2,14322.2,cash,,7538
100001059,22-01-2016,20:29:58,"T-shirt type 7, Puma",1,201.552,cash,,114
100001064,10-06-2018,20:28:11,"Socks type 3, Reebok",1,356.96,card,1188.0,184
100001084,28-02-2018,09:32:49,"Cufflinks type 1, Puma",1,227.88,cash,,135
100001084,28-02-2018,09:32:49,"Socks type 6, Nike",1,536.52,cash,,255
100001104,21-04-2018,13:47:00,"Top type 4, Reebok",1,271.6,cash,1268.0,140
100001104,21-04-2018,13:47:00,"Trousers type 7, Puma",1,482.232,cash,1268.0,283
100001122,25-03-2017,10:08:23,"Shirt type 7, Puma",1,1076.768,cash,,644
100001122,25-03-2017,10:08:23,"Shirt type 1, Nike",1,1428.65856,cash,,837
100001122,25-03-2017,10:08:23,"Shirt type 11, Adidas",2,1202.8,cash,,620
100001122,25-03-2017,10:08:23,"Shoes type 3, Reebok",1,2250.18,cash,,1389
100001148,02-06-2017,16:25:47,"Cap type 3, Reebok",1,315.57,card,,157
100001148,02-06-2017,16:25:47,"Shirt type 3, Puma",2,547.2,card,,304
100001152,05-09-2016,12:55:15,"Socks type 7, Reebok",1,315.59,cash,495.0,151
100001154,04-06-2016,14:05:35,"Shirt type 1, Adidas",1,914.82,cash,1078.0,474
100001154,04-06-2016,14:05:35,"Shirt type 10, Nike",1,397.46,cash,1078.0,167
100001155,21-02-2016,20:38:57,"Slippers type 1, Nike",1,371.68,card,,184
100001155,21-02-2016,20:38:57,"Shirt type 11, Adidas",1,595.386,card,,310
100001155,21-02-2016,20:38:57,"Slippers type 3, Adidas",1,246.4018,card,,151
100001162,15-02-2016,11:25:52,"Shirt type 7, Nike",1,1646.56,card,868.0,820
100001168,17-04-2017,15:58:52,"Hat type 8, Adidas",1,326.8,card,,152
100001170,11-10-2017,11:31:32,"Shoes type 2, Reebok",2,8569.3608,cash,,4756
100001174,06-05-2017,16:35:44,"Belt type 3, Reebok",2,1428.84,cash,394.0,756
100001174,06-05-2017,16:35:44,"Hat type 3, Nike",1,648.448,cash,394.0,298
100001174,06-05-2017,16:35:44,"Shirt type 9, Puma",1,669.8,cash,394.0,425
100001176,06-09-2016,19:25:51,"Trousers type 9, Reebok",1,608.16,card,,336
100001179,09-03-2018,17:41:11,"Sneakers type 3, Nike",1,2651.176,card,,1282
100001179,09-03-2018,17:41:11,"Boots type 1, Adidas",1,7293.79,card,,3593
100001189,31-08-2018,14:44:13,"Shoes type 3, Puma",1,4209.0048,cash,,3003
100001202,02-11-2017,16:16:13,"Top type 2, Puma",1,624.0,cash,,390
100001202,02-11-2017,16:16:13,"Trousers type 7, Puma",1,482.232,cash,,283
100001202,02-11-2017,16:16:13,"Socks type 5, Adidas",1,736.32,cash,,354
100001202,02-11-2017,16:16:13,"Slippers type 3, Reebok",1,481.14,cash,,243
100001202,02-11-2017,16:16:13,"Trousers type 10, Adidas",1,1264.4,cash,,580
100001202,02-11-2017,16:16:13,"Cufflinks type 3, Reebok",1,719.44,cash,,391
100001202,02-11-2017,16:16:13,"Trousers type 11, Reebok",1,1725.998,cash,,857
100001202,02-11-2017,16:16:13,"Hat type 1, Adidas",1,225.09,cash,,123
100001217,22-12-2016,15:12:30,"Belt type 4, Nike",2,1258.784,cash,,566
100001221,22-01-2016,13:09:46,"T-shirt type 7, Nike",2,1739.168,card,,782
100001221,22-01-2016,13:09:46,"Shirt type 9, Puma",1,669.8,card,,425
100001221,22-01-2016,13:09:46,"Ball type 1, Reebok",1,93.74,card,,43
100001221,22-01-2016,13:09:46,"Belt type 1, Puma",2,564.53488,card,,382
100001221,22-01-2016,13:09:46,"T-shirt type 1, Reebok",1,260.1312,card,,158
100001221,22-01-2016,13:09:46,"Trousers type 1, Puma",1,722.304,card,,418
100001221,22-01-2016,13:09:46,"Belt type 3, Nike",1,469.264,card,,211
100001221,22-01-2016,13:09:46,"Hat type 4, Reebok",1,229.4,card,,124
100001221,22-01-2016,13:09:46,"Cufflinks type 2, Puma",1,445.28,card,,253
100001242,12-01-2017,15:25:15,"Socks type 4, Reebok",1,758.3328,card,,393
100001242,12-01-2017,15:25:15,"Hat type 8, Adidas",1,294.12,card,,152
100001242,12-01-2017,15:25:15,"Boots type 4, Reebok",2,12603.536,card,,7538
100001242,12-01-2017,15:25:15,"Belt type 1, Reebok",1,558.6308,card,,298
100001245,06-03-2017,20:29:22,"Shirt type 6, Reebok",1,699.6,cash,,330
100001245,06-03-2017,20:29:22,"Socks type 2, Puma",1,427.648,cash,,257
100001248,25-12-2016,10:40:53,"Cufflinks type 6, Reebok",1,413.27,cash,,221
100001248,25-12-2016,10:40:53,"Shoes type 1, Nike",1,3176.892,cash,,1611
100001248,25-12-2016,10:40:53,"Shirt type 10, Reebok",1,1125.72,cash,,531
100001248,25-12-2016,10:40:53,"Hat type 3, Puma",1,388.44,cash,,249
100001248,25-12-2016,10:40:53,"Socks type 6, Puma",2,868.58304,cash,,598
100001255,20-09-2017,09:42:45,"Hat type 3, Adidas",1,231.0,card,,110
100001255,20-09-2017,09:42:45,"Slippers type 3, Adidas",1,300.49,card,,151
100001260,24-03-2016,15:00:28,"Ball type 1, Puma",2,122.2232,cash,,86
100001260,24-03-2016,15:00:28,"Belt type 4, Reebok",1,450.76,cash,,236
100001260,24-03-2016,15:00:28,"Slippers type 1, Adidas",1,391.95,cash,,195
100001260,24-03-2016,15:00:28,"Shirt type 7, Puma",1,882.94976,cash,,644
100001288,18-11-2016,18:19:50,"Socks type 2, Reebok",1,415.8,cash,,210
100001288,18-11-2016,18:19:50,"Cufflinks type 6, Reebok",1,413.27,cash,,221
100001288,18-11-2016,18:19:50,"Shoes type 2, Puma",1,3234.944,cash,,2032
100001288,18-11-2016,18:19:50,"T-shirt type 6, Nike",1,753.588,cash,,346
100001288,18-11-2016,18:19:50,"Shirt type 12, Puma",1,449.70112,cash,,328
100001288,18-11-2016,18:19:50,"Socks type 5, Nike",1,506.984,cash,,254
100001288,18-11-2016,18:19:50,"Cap type 2, Adidas",1,618.1056,cash,,292
100001288,18-11-2016,18:19:50,"Sneakers type 1, Nike",2,6708.05856,cash,,3774
100001288,18-11-2016,18:19:50,"Socks type 2, Puma",1,427.648,cash,,257
100001288,18-11-2016,18:19:50,"Top type 4, Adidas",1,217.21,cash,,107
100001290,19-09-2018,11:54:15,"Top type 1, Nike",1,339.16,card,,139
100001290,19-09-2018,11:54:15,"Shirt type 8, Reebok",2,2375.86,card,,1126
100001290,19-09-2018,11:54:15,"T-shirt type 1, Adidas",1,459.9,card,,219
100001305,08-03-2017,17:55:11,"Cufflinks type 7, Nike",1,540.90288,cash,,252
100001323,25-04-2016,18:17:08,"Cufflinks type 1, Reebok",1,767.97,card,1141.0,371
100001323,25-04-2016,18:17:08,"Boots type 1, Puma",1,6316.816,card,1141.0,3778
100001323,25-04-2016,18:17:08,"Slippers type 1, Adidas",1,391.95,card,1141.0,195
100001323,25-04-2016,18:17:08,"Trousers type 12, Nike",1,1574.69952,card,1141.0,758
100001339,03-08-2017,12:34:06,"Belt type 1, Nike",1,274.912,cash,894.0,121
100001339,03-08-2017,12:34:06,"Socks type 2, Adidas",1,107.52,cash,894.0,56
100001343,14-07-2016,14:45:27,"Trousers type 7, Nike",1,2670.744,cash,,1299
100001343,14-07-2016,14:45:27,"Sneakers type 5, Puma",2,2238.352,cash,,1406
100001373,22-04-2018,16:35:12,"Cap type 3, Reebok",1,315.57,cash,,157
100001391,18-06-2018,16:09:37,"Boots type 1, Adidas",1,7293.79,card,,3593
100001391,18-06-2018,16:09:37,"Trousers type 2, Puma",1,1043.12,card,,590
100001391,18-06-2018,16:09:37,"Hat type 1, Reebok",1,426.173,card,,265
100001409,27-05-2017,14:35:25,"Shirt type 8, Nike",1,1172.888,cash,,542
100001421,10-05-2017,14:39:02,"Belt type 3, Nike",2,938.528,cash,776.0,422
100001421,10-05-2017,14:39:02,"Slippers type 3, Adidas",1,264.4312,cash,776.0,151
100001421,10-05-2017,14:39:02,"Cufflinks type 2, Puma",1,400.752,cash,776.0,253
100001424,11-06-2018,19:19:42,"Cap type 2, Reebok",1,196.35,cash,,105
100001437,04-05-2017,18:09:54,"Belt type 1, Reebok",1,613.88,cash,,298
100001438,24-05-2017,13:15:13,"Trousers type 2, Nike",1,1392.46668,cash,82.0,597
100001438,24-05-2017,13:15:13,"Trousers type 9, Puma",1,858.28,cash,82.0,499
100001478,14-01-2016,19:19:13,"Cufflinks type 4, Reebok",1,821.24,cash,1270.0,419
100001478,14-01-2016,19:19:13,"Sneakers type 4, Reebok",1,3502.0,cash,1270.0,1700
100001479,21-01-2018,19:29:11,"Socks type 6, Reebok",1,657.02,cash,,380
100001527,13-04-2018,17:01:06,"T-shirt type 5, Reebok",1,700.91,card,,323
100001527,13-04-2018,17:01:06,"T-shirt type 7, Reebok",1,549.12,card,,286
100001530,07-06-2018,14:26:36,"Belt type 2, Reebok",1,440.99,card,,209
100001530,07-06-2018,14:26:36,"Cap type 1, Puma",1,237.984,card,,134
100001530,07-06-2018,14:26:36,"Shirt type 7, Reebok",1,1297.1574,card,,686
100001530,07-06-2018,14:26:36,"Shoes type 3, Nike",1,6650.368,card,,3352
100001531,24-05-2017,14:04:42,"Boots type 2, Adidas",2,13566.9,card,,6618
100001532,06-09-2016,14:02:47,"Shoes type 2, Reebok",1,4327.96,cash,,2378
100001532,06-09-2016,14:02:47,"Sneakers type 5, Adidas",1,1620.81,cash,,783
100001532,06-09-2016,14:02:47,"Cufflinks type 7, Nike",1,581.616,cash,,252
100001532,06-09-2016,14:02:47,"Ball type 2, Reebok",2,200.22,cash,,94
100001542,18-07-2017,19:23:27,"Cufflinks type 3, Adidas",1,376.618,card,,187
100001542,18-07-2017,19:23:27,"Boots type 2, Reebok",1,2607.95,card,,1213
100001547,04-09-2016,16:32:13,"Shirt type 4, Reebok",1,1673.9,card,,881
100001551,23-06-2017,18:58:18,"Socks type 7, Puma",1,565.76,cash,,320
100001557,25-01-2018,13:14:47,"Hat type 7, Puma",1,386.784,cash,,237
100001557,25-01-2018,13:14:47,"Socks type 7, Reebok",1,315.59,cash,,151
100001557,25-01-2018,13:14:47,"T-shirt type 7, Puma",1,201.552,cash,,114
100001557,25-01-2018,13:14:47,"Socks type 3, Adidas",1,466.86,cash,,251
100001557,25-01-2018,13:14:47,"Belt type 2, Adidas",1,325.95,cash,,159
100001557,25-01-2018,13:14:47,"Sneakers type 2, Reebok",1,1192.1728,cash,,712
100001557,25-01-2018,13:14:47,"T-shirt type 4, Puma",1,270.58304,cash,,184
100001557,25-01-2018,13:14:47,"Cufflinks type 3, Puma",2,1194.0864,cash,,780
100001557,25-01-2018,13:14:47,"Shirt type 11, Reebok",1,1481.48,cash,,814
100001558,15-07-2017,17:22:53,"Boots type 1, Reebok",1,4622.826,cash,,2535
100001558,15-07-2017,17:22:53,"T-shirt type 5, Nike",2,1136.8,cash,,490
100001578,07-02-2018,20:01:46,"T-shirt type 3, Reebok",1,418.665,cash,1064.0,226
100001578,07-02-2018,20:01:46,"Trousers type 8, Nike",1,1563.272,cash,1064.0,743
100001578,07-02-2018,20:01:46,"Shoes type 1, Reebok",1,6119.12,cash,1064.0,3122
100001578,07-02-2018,20:01:46,"Shirt type 12, Nike",1,974.028,cash,1064.0,471
100001617,23-09-2017,18:47:47,"Trousers type 2, Reebok",1,335.49,cash,,159
100001622,22-06-2017,20:31:40,"Socks type 7, Nike",1,364.816,card,,151
100001625,26-04-2017,19:04:55,"Belt type 4, Nike",1,553.86496,card,,283
100001646,20-09-2016,12:31:15,"Trousers type 8, Puma",1,759.632,cash,,482
100001646,20-09-2016,12:31:15,"Socks type 5, Nike",1,420.79672,cash,,254
100001646,20-09-2016,12:31:15,"Cap type 3, Reebok",1,290.3244,cash,,157
